entrez_id_cele	entrez_id_hsap
173979	34
181758	34
174180	37
174161	38
187992	38
180550	175
176770	538
172539	594
178025	1376
178387	1738
180818	1806
179036	2052
176584	2071
172535	2108
180918	2184
176059	2271
189173	2519
183002	2581
175506	2592
3565201	2632
174768	2639
179472	2643
174012	2731
172103	8001
173227	2821
174493	2937
171914	2956
180037	3030
172310	3030
176216	3032
172726	3081
171738	3155
179502	3978
179660	4668
174274	5727
173631	5727
191745	5727
176851	4860
175908	4942
174401	5053
181026	5095
171704	5184
181331	5193
176149	5256
177092	5257
178364	5373
181823	5805
174392	5830
176762	5860
184162	6444
3565648	6557
13200504	6557
173411	7054
178381	7498
177530	788
175190	2068
173171	2582
172509	2820
180950	3295
176758	5048
175863	4598
174548	5019
172333	5122
174141	6647
173776	6647
180185	6794
181638	6821
178960	275
172232	353
180533	3074
174116	7436
180596	5096
181323	6609
172632	6648
181748	6648
175467	2936
175091	178
177897	18
181706	43
180714	151
172408	191
184471	552
188227	552
176716	593
177513	776
179235	1139
3565563	1139
191599	1139
191597	1139
191601	1139
191598	1139
174262	1139
181682	1384
181639	1621
179347	1814
176691	2562
176713	2571
180935	2618
180002	2906
191707	2913
179887	2983
173202	2983
191657	2983
191656	2983
191658	2983
171963	2987
180970	3351
185321	4886
185623	4887
177108	5162
177190	5430
175668	5431
175710	5447
175231	5479
173374	5479
176358	5557
188846	5557
173122	5558
175501	6122
172074	6124
178342	6141
172062	6152
172921	6156
174695	6173
175879	6188
178012	6193
179998	6217
178188	6228
178538	6232
176301	6240
176304	6530
183595	6870
174825	7153
172149	7298
174991	7915
174564	8985
176680	14
179748	23
179795	47
180485	47
176121	50
175622	115
181765	10227
172833	267
189639	318
180721	396
175820	501
180769	813
190078	902
181472	1021
13223545	1021
3565921	1111
186176	1155
181292	9079
172723	1258
176297	1261
181684	1362
174378	1477
174380	1479
180853	1487
171829	1522
172370	1603
176334	1615
174417	1660
175771	1665
172392	1723
176504	1736
180819	1740
176316	58511
181174	58511
172041	1778
190436	1798
175475	1801
176163	1819
173657	1891
186486	1891
176348	1967
179999	2091
176855	2316
189837	2550
176435	2647
174438	2729
182513	2880
190801	2880
181178	2880
178544	2959
176421	2966
174199	2972
177790	3062
180752	3062
3565706	3191
259963	3396
172959	3646
181251	5080
171985	16
172351	36
172358	36
176030	53
266823	142
176118	204
173269	262
177251	327
175940	372
174525	373
191608	382
191632	402
175716	506
172137	526
177442	529
172195	539
176908	549
176390	821
171821	833
175819	908
173233	989
171784	1022
180434	1036
176314	1284
181708	1284
174385	790
180079	1491
174155	1491
173338	1499
174279	1629
174840	1725
190302	143098
179063	1743
176120	1933
175966	1974
171800	2109
176840	2339
179946	2342
175703	2617
171998	2730
181726	2805
180897	2806
172072	2806
181055	2885
177978	3035
176473	3242
176195	3308
175316	3329
181324	48
172236	3670
177546	3708
177281	3712
180252	3775
180203	3778
172110	3837
3565440	3843
177292	3913
180980	3915
177046	4085
175453	4245
181160	4245
179562	4247
172360	4249
173602	4331
176388	4351
174157	4438
172174	4478
174252	4507
179374	4528
172868	4682
172345	4686
172037	4724
176023	4728
175902	4799
187770	4913
174974	4931
179079	4953
177714	5002
173051	5045
180873	5058
177161	5111
259501	5134
191741	5147
190808	5151
174192	5194
173843	5236
171768	5245
174386	5277
172280	5289
174586	5335
179500	5356
179652	5424
177673	5427
172680	5432
171877	5436
179469	5495
174266	5510
176657	5531
181244	5586
180121	23683
13217576	23683
174515	5589
171872	5604
181299	5636
178943	5682
179493	5683
174571	5684
172139	5685
172942	5686
179941	5687
176161	5689
171975	5690
173858	5691
178988	5700
179641	5701
172238	5702
176661	5705
175403	5705
177455	5708
176196	5709
172009	5713
175972	5717
173807	5718
174715	5719
176588	10197
175463	5775
13188983	5775
174126	5825
174127	5825
181417	5832
171770	5833
178777	5837
177914	5888
172249	5933
171696	5976
178259	5983
3565940	246243
176733	6059
180637	6091
176495	6182
177456	6184
172208	6185
174482	6390
178491	6453
191770	6529
180837	6571
178015	6595
175571	6598
173767	6627
180468	6643
181681	6646
180603	6709
179077	6711
171711	6728
259584	6729
185438	6734
172070	6741
171865	6745
180422	6746
179611	6811
181030	6812
178143	6829
178022	6832
175415	6834
181041	6868
174005	7003
171878	10139
266847	7150
174018	7174
178014	7184
190778	7260
187512	7264
180983	5611
171870	5611
175398	7284
178006	7322
266820	7341
179484	7358
175772	7384
173141	7411
174004	7443
179160	7514
180677	7803
179538	7874
179413	8065
177622	8260
175481	8318
175344	8396
180354	8398
181196	8398
173414	8402
175117	8449
178547	8452
176806	8453
176466	8454
176684	8460
172268	6790
172864	8480
172613	9497
179072	8491
