Ensembl Gene ID	UniProt/SwissProt Accession
ENSG00000183704	A6NJY1
ENSG00000213471	A6NNM8
ENSG00000234769	A8MWX3
ENSG00000178605	O43824
ENSG00000183291	O60613
ENSG00000117507	O60774
ENSG00000224689	P0C7V5
ENSG00000267908	P0CG00
ENSG00000222040	P18089
ENSG00000108292	P55198
ENSG00000198843	P62341
ENSG00000070081	P80303
ENSG00000187145	P82921
ENSG00000180574	Q2VIR3
ENSG00000102069	Q5JXB2
ENSG00000196326	Q5T2L2
ENSG00000205318	Q5T4J0
ENSG00000143674	Q5TCX8
ENSG00000188474	Q6ZQV5
ENSG00000174595	Q8TD94
ENSG00000238244	Q9BY60
ENSG00000149531	Q9BZ01
ENSG00000187838	Q9NRY6
ENSG00000091436	Q9NYL2
ENSG00000159905	Q9UK13
ENSG00000012983	Q9Y4K4
ENSG00000262576	Q9Y5G9
