A4UVJ9,WBGene00019439
D3YT15,WBGene00002222
D3YT25,WBGene00001487
G5EFJ2,WBGene00003085
G8JY08,WBGene00001241
G8JY09,WBGene00015540
G8JY66,WBGene00000857
H2KYD6,WBGene00017868
H2KYD7,WBGene00006890
H2KZ12,WBGene00000092
H2KZB0,WBGene00007007
H2KZK6,WBGene00019467
I2HAL2,WBGene00000301
O01264,WBGene00011908
O16672,WBGene00018264
O18207,WBGene00013016
O44439,WBGene00015250
O44485,WBGene00018326
O45019,WBGene00022518
O61903,WBGene00020955
O76685,WBGene00015441
P24891,WBGene00010962
P24893,WBGene00010964
P24896,WBGene00010967
P90984,WBGene00015173
P90988,WBGene00015188
Q09519,WBGene00017046
Q18447,WBGene00016405
Q18663,WBGene00016726
Q20371,WBGene00001016
Q20429,WBGene00000271
Q20535,WBGene00018546
Q20633,WBGene00018635
Q20799,WBGene00010077
Q21306,WBGene00000591
Q22106,WBGene00020164
Q22637,WBGene00006784
Q22729,WBGene00020770
Q3V5H2,WBGene00022048
Q4R158,WBGene00043705
Q5DX47,WBGene00000762
Q60F70,WBGene00021423
Q65XW9,WBGene00021936
Q6AW07,WBGene00021461
Q7JL05,WBGene00011123
Q7KX58,WBGene00020959
Q7Z154,WBGene00019698
Q8ITW1,WBGene00019766
Q8T3B2,WBGene00006594
Q8WTL7,WBGene00021652
Q94174,WBGene00016611
Q94191,WBGene00017729
Q94284,WBGene00019725
Q95QX1,WBGene00003961
Q95XE8,WBGene00022205
Q95Y37,WBGene00022425
Q965R0,WBGene00021747
Q9BKQ3,WBGene00021344
Q9BKW6,WBGene00022360
Q9GZF1,WBGene00017723
Q9N2Y6,WBGene00022135
Q9N437,WBGene00021365
Q9N4B8,WBGene00022423
Q9NAN8,WBGene00011051
Q9TXV4,WBGene00018681
Q9U3C3,WBGene00010537
Q9XX28,WBGene00000974
