From	To
A0AV02	ENSG00000221955
A0AVF1	ENSG00000105948
A0AVI4	ENSG00000168936
A0AVK6	ENSG00000129173
A0FGR8	ENSG00000117868
A0FGR9	ENSG00000158220
A0JLT2	ENSG00000156603
A0JNW5	ENSG00000111647
A0PG75	ENSG00000231213
A0PJX2	ENSG00000101342
A0PJY2	ENSG00000128610
A0PK00	ENSG00000188735
A1A4S6	ENSG00000071205
A1A5B4	ENSG00000185101
A1IGU5	ENSG00000183111
A1KZ92	ENSG00000147485
A1L020	ENSG00000254726
A1L0T0	ENSG00000105135
A1L390	ENSG00000126822
A1Z1Q3	ENSG00000172264
A2A288	ENSG00000178199
A2A3K4	ENSG00000158079
A2RTX5	ENSG00000185418
A2RU54	ENSG00000188816
A2RUB1	ENSG00000180336
A3KMH1	ENSG00000102763
A3KN83	ENSG00000139697
A4D1E9	ENSG00000105793
A4D1P6	ENSG00000105875
A4D1S5	ENSG00000146955
A4D2B0	ENSG00000214309
A4IF30	ENSG00000151812
A5D8V6	ENSG00000167987
A5LHX3	ENSG00000222028
A5PKW4	ENSG00000059915
A5PLL7	ENSG00000240849
A5PLN9	ENSG00000113597
A5YKK6	ENSG00000125107
A6BM72	ENSG00000157890
A6H8Y1	ENSG00000145734
A6H8Y1	ENSG00000273873
A6NC98	ENSG00000168071
A6NCE0	ENSG00000204060
A6NCE7	ENSG00000258102
A6NCS4	ENSG00000180053
A6ND91	ENSG00000204653
A6NDG6	ENSG00000184207
A6NE02	ENSG00000204347
A6NEE1	ENSG00000175985
A6NFH5	ENSG00000197416
A6NFM0	ENSG00000228049
A6NFN3	ENSG00000167281
A6NFU8	ENSG00000183571
A6NFY4	ENSG00000189362
A6NGC4	ENSG00000185561
A6NGC4	ENSG00000275246
A6NGN9	ENSG00000142549
A6NH52	ENSG00000166676
A6NH57	ENSG00000141748
A6NHC0	ENSG00000203697
A6NHG4	ENSG00000099974
A6NHG4	ENSG00000275758
A6NHT5	ENSG00000188620
A6NI28	ENSG00000165895
A6NIH7	ENSG00000175970
A6NIR3	ENSG00000172650
A6NIX2	ENSG00000142279
A6NJ46	ENSG00000165066
A6NJT0	ENSG00000164853
A6NJZ7	ENSG00000183246
A6NKB5	ENSG00000135749
A6NKD9	ENSG00000205476
A6NKF2	ENSG00000205143
A6NKF9	ENSG00000188092
A6NKP2	ENSG00000183921
A6NKT7	ENSG00000153165
A6NLP5	ENSG00000172425
A6NMX2	ENSG00000175766
A6NNM3	ENSG00000274600
A6NNS2	ENSG00000184544
A6PVI3	ENSG00000170935
A6XGL0	ENSG00000250067
A7E2V4	ENSG00000214655
A7E2Y1	ENSG00000078814
A7KAX9	ENSG00000134909
A7MBM2	ENSG00000140323
A8K855	ENSG00000203965
A8MQ27	ENSG00000214357
A8MTL3	ENSG00000215277
A8MU46	ENSG00000214872
A8MWY0	ENSG00000164659
A8MXD5	ENSG00000215203
A8MXV4	ENSG00000213965
A9YTQ3	ENSG00000063438
B0I1T2	ENSG00000136286
B0YJ81	ENSG00000165996
B2RTY4	ENSG00000066933
B2RXH2	ENSG00000235268
B4DV38	ENSG00000121274
B4E0Y9	ENSG00000134602
B5MCN3	ENSG00000214491
B5MD39	ENSG00000274252
B5ME19	ENSG00000205609
B7ZAQ6	ENSG00000117262
C9J069	ENSG00000232434
C9J3F9	ENSG00000130810
C9J4G0	ENSG00000258315
C9J798	ENSG00000170667
C9JMV9	ENSG00000114786
C9JNC2	ENSG00000257743
C9JNC2	ENSG00000278563
D6RAR5	ENSG00000257184
E2QRD5	ENSG00000242498
E5RIG2	ENSG00000183117
E7EPS1	ENSG00000117600
E7EVH7	ENSG00000256500
E7EVK2	ENSG00000148824
E7EX88	ENSG00000157766
E9PI62	ENSG00000254536
E9PK14	ENSG00000120341
F5H5T6	ENSG00000256591
F6WH68	ENSG00000026036
F8VPJ2	ENSG00000197892
F8VRU3	ENSG00000257218
F8VUA0	ENSG00000185038
F8W031	ENSG00000144785
F8W036	ENSG00000258311
F8W810	ENSG00000180574
F8WBC2	ENSG00000254959
G3V3Q6	ENSG00000259066
G3V3Q6	ENSG00000281847
G3V3Y1	ENSG00000258653
H0Y2S1	ENSG00000178605
H0YAE9	ENSG00000249141
H0YBQ0	ENSG00000197763
H0YE48	ENSG00000116783
H0YE66	ENSG00000254673
H0YHG0	ENSG00000257390
H0YHI0	ENSG00000125954
H0YIS7	ENSG00000161939
H0YIV9	ENSG00000111780
H0YNI0	ENSG00000118707
H3BM72	ENSG00000005189
H3BMM0	ENSG00000258677
H3BNC9	ENSG00000260836
H3BNC9	ENSG00000282755
H3BNX3	ENSG00000260170
H3BPM6	ENSG00000225526
H3BQ06	ENSG00000260272
H3BQ75	ENSG00000136371
H3BQF6	ENSG00000258539
H3BRJ5	ENSG00000248710
H3BSR4	ENSG00000258984
H3BU86	ENSG00000254995
H7BZ11	ENSG00000257529
H7C0C1	ENSG00000249209
H7C0S8	ENSG00000249319
H7C1Q1	ENSG00000248751
H7C417	ENSG00000249590
H7C469	ENSG00000250644
J3KSG7	ENSG00000004139
J3QL51	ENSG00000265681
J3QQQ9	ENSG00000263809
J3QR44	ENSG00000248333
J3QT00	ENSG00000173157
L7N2F9	ENSG00000263620
L7N484	ENSG00000167524
M0QXC1	ENSG00000183760
M0QYT0	ENSG00000268083
M0R2C6	ENSG00000269547
M0R2M9	ENSG00000232237
M0R3G1	ENSG00000282246
O00115	ENSG00000105612
O00116	ENSG00000018510
O00139	ENSG00000068796
O00141	ENSG00000118515
O00144	ENSG00000188763
O00148	ENSG00000123136
O00160	ENSG00000142347
O00161	ENSG00000092531
O00167	ENSG00000064655
O00170	ENSG00000110711
O00178	ENSG00000100226
O00180	ENSG00000135750
O00182	ENSG00000168961
O00192	ENSG00000099889
O00194	ENSG00000041353
O00203	ENSG00000132842
O00204	ENSG00000088002
O00213	ENSG00000166313
O00214	ENSG00000116977
O00217	ENSG00000110717
