uniprot_id_cele	uniprot_id_hsap
Q19020	Q14204
P34369	Q6P2Q9
I2HAA6	Q92736
I2HAA6	Q15413
I2HAA6	P21817
Q19542	Q8NCM8
Q21408	Q13813
Q04833	P98164
P16356	P24928
Q9U2G0	O75643
P34574	Q00610
P34574	P53675
Q18990	P27708
E0AHA7	Q01082
E0AHA7	O15020
E0AHA7	P11277
G5EDG4	Q96RW7
G5EDG4	Q8NDA2
Q19317	Q8NFP9
Q19317	P50851
Q20641	P35580
Q20641	P35579
Q20641	P35749
Q20641	Q7Z406
H2FLM3	Q8IZQ1
Q8MQA1	Q01668
Q8MQA1	Q13936
Q8MQA1	O60840
Q8MQA1	Q13698
P02566	P13533
P02566	P12883
P02566	P12882
P02566	Q9UKX2
P02566	Q9Y623
P02566	P13535
P02566	P11055
P02566	Q9UKX3
P02566	A7E2Y1
P02566	Q9Y2K3
P02567	P13533
P02567	P12883
P02567	P12882
P02567	Q9UKX2
P02567	Q9Y623
P02567	P13535
P02567	P11055
P02567	Q9UKX3
P02567	A7E2Y1
P02567	Q9Y2K3
P12845	P13533
P12845	P12883
P12845	P12882
P12845	Q9UKX2
P12845	Q9Y623
P12845	P13535
P12845	P11055
P12845	Q9UKX3
P12845	A7E2Y1
P12845	Q9Y2K3
P12844	P13533
P12844	P12883
P12844	P12882
P12844	Q9UKX2
P12844	Q9Y623
P12844	P13535
P12844	P11055
P12844	Q9UKX3
P12844	A7E2Y1
P12844	Q9Y2K3
Q21000	P13533
Q21000	P12883
Q21000	P12882
Q21000	Q9UKX2
Q21000	Q9Y623
Q21000	P13535
Q21000	P11055
Q21000	Q9UKX3
Q21000	A7E2Y1
Q21000	Q9Y2K3
Q10578	P30876
P91871	P49327
G5ED36	O75165
G4SLH0	Q8WZ42
Q21313	O15230
G4SFC3	O00555
G4SFC3	Q00975
G4SFC3	Q15878
P91443	Q6PIF6
P91443	Q13402
O62218	Q07864
Q9Y0A1	Q14643
Q9Y0A1	Q14571
Q9Y0A1	Q14573
Q9XWI1	Q8N3C0
G5EBZ4	Q14839
G5EBZ4	Q12873
G5EBZ4	Q8TDI0
Q22516	Q14839
Q22516	Q12873
Q22516	Q8TDI0
G5EEQ8	O75533
Q17490	Q01484
Q17490	Q12955
P27715	Q9UPW8
P27715	O14795
P27715	Q8NB66
Q09582	Q99707
G5EGK1	Q9Y4G6
G5EGK1	Q9Y490
P23678	Q12756
P23678	O60333
G5EFW3	Q9NRC6
Q23670	P11388
Q23670	Q02880
P17140	P29400
P17140	P02462
P17140	Q01955
P17139	P29400
P17139	P02462
P17139	Q01955
O17732	P11498
O44985	Q15393
Q7Z003	Q9P0X4
Q7Z003	O43497
Q18566	O14802
O61851	Q9NU22
Q9N4H7	P53621
Q20168	P53621
G5EDM1	Q8IZF0
Q8MXH5	Q8IZF0
Q95Q95	P42345
J7S122	Q9Y485
J7S122	Q8TDJ6
P90735	P05023
P90735	P50993
P90735	P13637
P90735	Q13733
Q9U1Q7	O60306
Q27492	Q9NW08
G5ECE3	P24043
G5ECE3	P25391
Q19319	Q14517
Q19319	Q8TDW7
Q19319	Q9NYQ8
Q09530	Q14562
A0A9S2	O14841
Q22830	Q9UG01
O44565	P07942
O44565	P55268
G5EEK8	P16615
G5EEK8	O14983
G5EEK8	Q93084
O18158	O15294
Q23463	Q15029
Q95XP5	Q16720
Q95XP5	Q01814
Q95XP5	P20020
Q95XP5	P23634
G5EFH7	Q9Y6D6
G5EFH7	Q9Y6D5
P29691	P13639
Q18164	Q12882
Q17551	O75592
Q965Y9	O75592
Q1RS87	Q9Y2E4
Q1RS87	Q14689
Q1RS87	Q9P265
Q9XW63	P42356
P53585	P53396
P90731	P53396
Q94010	Q96RL7
Q94010	Q709C8
G5EDD3	Q9UPN3
G5EDD3	Q03001
G5EFX3	O75095
Q09996	Q9P2J5
B3CJ34	Q92616
P0CG71	P0CG48
O44518	Q7L576
O44518	Q96F07
Q9TXV2	P98198
Q9TXV2	Q8TF62
O01485	Q9P2D3
O01485	Q86XA9
P54812	P55072
P54811	P55072
Q21926	P41252
Q20943	P33527
Q20943	O15438
Q20943	Q92887
Q3S1M2	P33527
Q3S1M2	O15438
Q3S1M2	Q92887
Q18823	P11047
Q18823	Q9Y6N6
P34498	Q92620
P34268	Q13045
Q23658	Q9ULU8
Q23658	Q86UW7
Q18447	Q9ULT8
P41877	P28370
P41877	O60264
G5EF53	P51531
G5EF53	P51532
Q9N5U1	P11217
Q9N5U1	P11216
Q9N5U1	P06737
O62334	P35573
Q18031	Q13423
Q9XV66	Q8N2C7
Q19901	Q12965
Q19901	O00160
G5EEV2	Q9Y4A5
G5EES3	Q9UKV8
G5EES3	Q9UL18
G5EES3	Q9H9G7
G5EES3	Q9HCK5
O16720	Q9UKV8
O16720	Q9UL18
O16720	Q9H9G7
O16720	Q9HCK5
P34545	Q09472
P34545	Q92793
Q03604	P23921
Q9N4F3	Q10567
Q9N4F3	P63010
B6VQ59	A3KMH1
Q20937	A5YKK6
Q95V25	Q12791
G5EBH1	O43861
G5EBH1	O75110
P91203	O43861
P91203	O75110
Q22601	O94973
Q22601	O95782
O17909	O14646
O17909	O14647
Q5DX48	O94915
Q5DX48	Q5TBA9
Q8MQ20	Q9H1H9
Q8MQ20	Q9NQT8
O61199	Q02218
O61199	Q9ULD0
G5EGS5	Q92538
H2L0M0	Q13085
H2L0M0	O00763
Q9GPA0	Q9NYU2
Q9GPA0	Q9NYU1
P90747	Q9HD20
Q9GUP2	Q7Z6Z7
P34455	Q99798
O17892	P47989
O17892	Q06278
Q23500	P21399
Q19791	Q9P2N4
Q19791	P59510
G5EBH0	Q15147
G5ED21	O95602
G4RT15	Q96RV3
G4RT15	Q9H6A9
G4RT15	A6NKB5
O45244	O60231
Q21962	P23378
Q23158	P35609
Q23158	Q08043
Q23158	P12814
Q23158	O43707
O61845	Q9P2D1
O61845	Q3L8U1
O61845	Q8TD26
O61845	Q9HCK8
Q19311	O15067
Q9U1Q4	P26640
Q23089	O14980
G5EG58	P08183
G5EG58	P21439
G5EG58	O95342
P34712	P08183
P34712	P21439
P34712	O95342
Q9TYL9	P53618
O01541	P49588
Q9TZI9	Q9UM54
Q6EZG5	Q9UM54
P09446	P11142
P09446	P54652
P09446	P08107
O01757	Q9H0A0
F0IWT2	B2RTY4
F0IWT2	Q13459
Q18688	P08238
Q18688	P07900
P39055	Q05193
P39055	P50570
P39055	Q9UQ16
G5ECV9	Q3SY69
G5ECV9	O75891
O01583	Q5VT25
O01583	Q9Y5S2
O01583	Q6DT37
Q20875	O43143
Q3V5K0	Q9HCM2
Q3V5K0	O75051
Q3V5K0	Q9UIW2
Q3V5K0	P51805
Q9GRZ2	O94906
P46975	Q8TCJ2
Q17383	Q9Y4I1
Q17383	Q9ULV0
Q17383	Q9NQX4
G5EGM3	P21675
G5EGM3	Q8IZX4
Q23381	P22033
O16637	O14617
P90829	P28340
P27420	P11021
P20163	P11021
G5ECZ4	Q8NEZ3
O61528	O75962
O61528	O60229
G5EDU1	P98194
G5EDU1	O75185
Q9XW92	P38606
C0P289	Q9Y2Q0
C0P289	Q9NTI2
G5EFX6	O75093
G5EFX6	O94813
G5EFX6	O75094
Q93971	Q7Z4N2
Q93971	Q9HCF6
Q93971	Q9BX84
Q93971	Q96QT4
P34703	Q7KZ85
P34529	Q9UPY3
Q20487	Q96N67
Q20487	Q96HP0
Q20487	Q8NF50
O01789	Q14683
O01789	Q8NDV3
Q23223	P42285
Q27493	Q9H9Y6
Q22307	Q08211
O76512	Q92900
G5ECZ0	O94832
G5ECZ0	B0I1T2
P91309	O43314
P91309	Q6PFW1
Q95PZ4	P19447
Q9N5R9	Q9Y5B9
P11141	P38646
Q94251	Q86XK2
Q9XXI9	P49736
Q22498	Q9UBF2
Q22498	Q9Y678
G5EE14	Q04656
G5EE14	P35670
P30628	Q93050
P30628	Q9HBG4
P90980	P17252
P90980	P05771
P90980	P05129
Q9GZH5	Q13200
Q22235	P14625
Q9TXV8	Q99758
Q27481	P22314
H2KZC2	Q9UHW9
H2KZC2	Q9UP95
H2KZC2	Q9H2X9
H2KZC2	Q9Y666
Q9U2Z1	Q15436
Q9U2Z1	Q15437
Q09508	P31040
O44954	P31040
O02626	Q8WXG6
O01737	Q9Y2G9
O01737	A3KN83
G5EDK5	Q9NYQ7
G5EDK5	Q9HCU4
G5EDK5	Q9NYQ6
O61213	Q9NRD8
O61213	Q9NRD9
O01795	Q9NRD8
O01795	Q9NRD9
O62332	Q92973
O62332	O14787
Q1RS86	P78363
Q1RS86	O95477
Q1RS86	Q8IZY2
Q1RS86	Q9BZC7
Q1RS86	Q86UK0
Q1RS86	Q86UQ4
P52709	P26639
P52709	A2RTX5
H1UBJ9	O95985
G5EGS3	Q7Z4S6
G5EGS3	O75037
P55163	Q9Y2A7
P55163	P55160
D0IMZ5	P21333
D0IMZ5	O75369
D0IMZ5	Q14315
Q09639	P25098
Q09639	P35626
B3WFV9	Q9Y6M7
B3WFV9	Q2Y0W8
B3WFV9	Q6U841
Q18965	O60313
O44952	P36776
G5EE72	O15440
G5EE72	Q96J65
G5EE72	Q96J66
Q20911	O60494
G5EFW7	Q9HBG6
Q23629	Q96HY7
Q21049	Q13136
Q21049	O75334
Q21049	O75145
P34466	O75153
A9D4S6	Q9BZJ0
Q23651	Q9H9T3
H9G2R4	Q5JUK3
H9G2R4	Q6UVM3
Q21284	P11586
Q21284	Q6UB35
Q21902	P33992
Q18476	Q9UIA9
Q18476	Q9H2T7
B2FDA8	Q9UQE7
Q965K2	Q7L014
G5EGT7	O60841
Q21734	Q15418
Q21734	P51812
Q21734	Q15349
Q21734	Q9UK32
P91910	Q71U36
P91910	P68363
P91910	Q9BQE3
P91910	Q13748
P91910	Q6PEY2
P91910	P68366
Q9TZL8	P08237
Q9TZL8	Q01813
Q9TZL8	P17858
Q17832	Q00341
P41937	P68371
P41937	P04350
P41937	P07437
P41937	Q9BVA1
P41937	Q13885
O18182	Q9P241
O18182	O94823
O18182	O60312
O44503	Q9UDR5
Q95QN2	Q9BUQ8
P34647	Q14566
P54936	O14936
P34885	Q02156
P34885	P24723
H8ESD5	P55011
H8ESD5	Q13621
H8ESD5	P55017
O44164	Q8NCM2
O44164	O95259
Q9N3T5	Q9Y4W6
Q95Y24	Q9HD45
O62431	P47897
H2KYP2	P57103
H2KYP2	P32418
H2KYP2	Q9UPR5
Q9BMN8	Q13332
Q9BMN8	P23468
Q9BMN8	P10586
Q23315	P07814
G5ECL2	O43426
G5ECL2	O15056
P91133	Q8IWV8
P91133	Q8IWV7
O18239	Q9H9S3
O18239	P61619
Q17971	Q14997
P34335	P46019
P34335	P46020
O17388	Q99805
Q9N2Z7	O00308
Q9N2Z7	Q9H0M0
Q9N2Z7	Q96J02
Q9XXK1	P25705
Q19338	Q7Z3U7
Q9N4Y8	P28331
O45818	O94806
O45818	Q15139
O45818	Q9BZL6
Q19699	Q06210
Q19699	O94808
Q19130	Q06210
Q19130	O94808
Q8WQC9	O00429
C7IVS4	P09884
Q9XV52	Q96RP9
G5EG65	Q8IV36
P91175	Q9HCS7
Q21029	Q6ZN16
Q21029	Q99683
Q21029	O95382
Q19626	P21281
Q19626	P15313
Q9N5A0	P21281
Q9N5A0	P15313
Q21920	O75179
Q21920	Q8IWZ3
Q20239	Q14697
Q20239	Q8TET4
O17352	Q14697
O17352	Q8TET4
P90795	P43304
P46561	P06576
Q95XQ8	P33991
Q9U2K8	P61221
Q06561	P98160
O17966	P11387
O17966	Q969P6
Q9NAE2	Q96N76
G5EBE2	Q6ZT07
G5EBE2	Q66K14
G5EBE2	O95759
G5EBE2	Q0IIM8
G5EGT4	P51790
G5EGT4	P51793
G5EGT4	P51795
Q03560	Q6PD62
Q10039	P41250
Q22137	Q04446
Q9N4C2	Q10570
H9G328	Q6P0Q8
H9G328	Q9Y2H9
H9G328	O15021
H9G328	O60307
Q86GV3	P16066
Q86GV3	P20594
Q19842	P05165
Q9BIB8	Q14974
Q20176	O43897
Q20176	Q9Y6L7
