From	To
A0FLQ6	WBGene00020964
A0FLQ8	WBGene00006959
A0PD34	WBGene00014848
A0SQM0	WBGene00021661
A3FPK2	WBGene00003232
A3QM97	WBGene00016879
A3QMB1	WBGene00016580
A3QMB3	WBGene00016582
A3QMC5	WBGene00004448
A3QMC6	WBGene00016592
A3QMC8	WBGene00016583
A4F324	WBGene00011612
A4LBC2	WBGene00016603
A4UVJ7	WBGene00022616
A4UVL8	WBGene00045337
A4UZ34	WBGene00022123
A5HWB2	WBGene00012666
A5JYR4	WBGene00000894
A5JYT9	WBGene00009508
A5JYU5	WBGene00004296
A5JYU6	WBGene00009665
A5JYW9	WBGene00004117
A5JYX3	WBGene00001978
A5JYX5	WBGene00000967
A5JYX8	WBGene00011488
A5JYY7	WBGene00010856
A5PEW5	WBGene00004364
A5PEX5	WBGene00002996
A5PEX8	WBGene00013365
A5PEY3	WBGene00013680
A5Z2S4	WBGene00008166
A5Z2T7	WBGene00000148
A5Z2W8	WBGene00007054
A6PVA1	WBGene00016654
A6ZJ73	WBGene00007959
A7DT41	WBGene00018632
A7DTF0	WBGene00003406
A7DTF2	WBGene00012930
A7IQW5	WBGene00016591
A7LPE6	WBGene00010778
A7LPF8	WBGene00006802
A7LPG5	WBGene00044026
A7WK41	WBGene00022379
A7WK43	WBGene00050885
A7WK47	WBGene00021012
A8DYR7	WBGene00017973
A8DYS0	WBGene00001340
A8WFI7	WBGene00020596
A8WFJ9	WBGene00017687
A8WFK6	WBGene00019846
A8WHR6	WBGene00006460
A8WHT1	WBGene00194707
A8WHT8	WBGene00010703
A8XQE0	WBGene00013676
A9CZN9	WBGene00017084
A9D0C3	WBGene00020171
A9D2X7	WBGene00021352
A9D4E4	WBGene00017430
A9D4S6	WBGene00019762
A9D699	WBGene00016992
A9UJN4	WBGene00007554
A9Z1K0	WBGene00004348
A9Z1L1	WBGene00005648
A9Z1L6	WBGene00016019
B0M0M9	WBGene00077521
B1GRK5	WBGene00018286
B1GRL5	WBGene00077643
B1Q236	WBGene00006365
B1Q240	WBGene00001101
B1Q249	WBGene00015926
B1Q254	WBGene00007593
B1V898	WBGene00077701
B1V899	WBGene00022138
B1V8A0	WBGene00006791
B2D6K9	WBGene00008166
B2D6M2	WBGene00003041
B2D6N9	WBGene00001414
B2FDA8	WBGene00004873
B2MZB4	WBGene00003605
B3CJ34	WBGene00021697
B3CJ53	WBGene00006763
B3GWA1	WBGene00017778
B3GWC0	WBGene00003586
B3GWC3	WBGene00000376
B3KLZ9	WBGene00016562
B3KYC0	WBGene00013678
B3WFV9	WBGene00009920
B3WFW5	WBGene00014119
B3WFX4	WBGene00002999
B3WFY8	WBGene00001121
B3WFZ3	WBGene00007857
B4E3X6	WBGene00012909
B5BM26	WBGene00086566
B5BM27	WBGene00002299
B5BM32	WBGene00003834
B5BM35	WBGene00011433
B5BM46	WBGene00003830
B5BM47	WBGene00011393
B5U8M3	WBGene00004862
B5WWL2	WBGene00138717
B6VQ32	WBGene00015648
B6VQ59	WBGene00008694
B6VQ90	WBGene00007480
B6VQ94	WBGene00012356
B7FAS6	WBGene00012990
B7FAS8	WBGene00001334
B7WN63	WBGene00000994
B7WN72	WBGene00006444
B7WN80	WBGene00011580
B7WNA0	WBGene00009126
B7WNB1	WBGene00013002
B7WNB4	WBGene00175030
B9WRT3	WBGene00007505
B9WRU1	WBGene00012769
C0P271	WBGene00006755
C0P277	WBGene00185048
C0P278	WBGene00185014
C0P280	WBGene00000914
C0P287	WBGene00185001
C0P289	WBGene00013034
C0VXV5	WBGene00022130
C0Z1Y1	WBGene00021131
C0Z1Y9	WBGene00185078
C1P622	WBGene00002891
C1P629	WBGene00008362
C1P633	WBGene00010444
C2BR94	WBGene00021311
C2BR97	WBGene00004881
C4ALD5	WBGene00006805
C4ALD8	WBGene00001248
C5NU64	WBGene00021324
C5VUK2	WBGene00000818
C6KRH8	WBGene00009800
C6KRL4	WBGene00008419
C6KRL6	WBGene00006976
C6KRM7	WBGene00004372
C6KRN3	WBGene00012208
C6KRQ4	WBGene00006541
C6S3M5	WBGene00001629
C7FZU5	WBGene00077771
