CE_WB_CURRENT,HS_ENSG,CE_WB_OLD,CE_WB_COMMENT
WBGene00000001,ENSG00000145675,WBGene00000001,
WBGene00000002,ENSG00000103064,WBGene00000002,
WBGene00000003,ENSG00000155465,WBGene00000003,
WBGene00000004,ENSG00000103064,WBGene00000004,
WBGene00000020,ENSG00000165029,WBGene00000020,
WBGene00000022,ENSG00000167972,WBGene00000022,
WBGene00000035,ENSG00000087085,WBGene00000035,
WBGene00000039,ENSG00000130234,WBGene00000039,
WBGene00000040,ENSG00000122729,WBGene00000040,
WBGene00000041,ENSG00000100412,WBGene00000041,
WBGene00000046,ENSG00000175344,WBGene00000046,
WBGene00000048,ENSG00000175344,WBGene00000048,
WBGene00000049,ENSG00000175344,WBGene00000049,
WBGene00000050,ENSG00000175344,WBGene00000050,
WBGene00000053,ENSG00000175344,WBGene00000053,
WBGene00000055,ENSG00000175344,WBGene00000055,
WBGene00000060,ENSG00000129749,WBGene00000060,
WBGene00000063,ENSG00000184009,WBGene00000063,
WBGene00000064,ENSG00000184009,WBGene00000064,
WBGene00000065,ENSG00000184009,WBGene00000065,
WBGene00000066,ENSG00000184009,WBGene00000066,
WBGene00000067,ENSG00000196834,WBGene00000067,
WBGene00000068,ENSG00000162104,WBGene00000068,
WBGene00000071,ENSG00000173175,WBGene00000071,
WBGene00000072,ENSG00000087274,WBGene00000072,
WBGene00000074,ENSG00000148848,WBGene00000074,
WBGene00000075,ENSG00000151694,WBGene00000075,
WBGene00000080,ENSG00000197381,WBGene00000080,
WBGene00000081,ENSG00000018510,WBGene00000081,
WBGene00000086,ENSG00000110514,WBGene00000086,
WBGene00000089,ENSG00000069974,WBGene00000089,
WBGene00000090,ENSG00000121879,WBGene00000090,
WBGene00000092,ENSG00000121957,WBGene00000092,
WBGene00000097,ENSG00000158552,WBGene00000097,
WBGene00000099,ENSG00000087586,WBGene00000099,
WBGene00000102,ENSG00000142208,WBGene00000102,
WBGene00000103,ENSG00000142208,WBGene00000103,
WBGene00000105,ENSG00000123908,WBGene00000105,
WBGene00000106,ENSG00000123908,WBGene00000106,
WBGene00000107,ENSG00000111275,WBGene00000107,
WBGene00000108,ENSG00000111275,WBGene00000108,
WBGene00000109,ENSG00000144908,WBGene00000109,
WBGene00000110,ENSG00000072210,WBGene00000110,
WBGene00000111,ENSG00000072210,WBGene00000111,
WBGene00000112,ENSG00000159423,WBGene00000112,
WBGene00000113,ENSG00000112294,WBGene00000113,
WBGene00000114,ENSG00000119711,WBGene00000114,
WBGene00000115,ENSG00000164904,WBGene00000115,
WBGene00000116,ENSG00000118514,WBGene00000116,
WBGene00000117,ENSG00000143149,WBGene00000117,
WBGene00000118,ENSG00000143149,WBGene00000118,
WBGene00000123,ENSG00000181222,WBGene00000123,
WBGene00000142,ENSG00000142230,WBGene00000142,
WBGene00000147,ENSG00000117362,WBGene00000147,
WBGene00000148,ENSG00000162736,WBGene00000148,
WBGene00000149,ENSG00000142192,WBGene00000149,
