CE_WB_CURRENT,HS_ENSG,Databases,Score,COMMON_NAME,LOCUS_ID,AHRINGER_LOC,INTERPRO_DOM,SMART,GO,HGNC
WBGene00000001,ENSG00000105647,COMPARA88|COMPARA89|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,5,aap-1,Y110A7A.10,,"INTERPRO:IPR000980 ""SH2 domain""|INTERPRO:IPR001720 ""PI3K p85 subunit""",SM00252|SM00324|SM00326,"1-phosphatidylinositol-3-kinase activity|1-phosphatidylinositol-3-kinase regulator activity|cellular glucose homeostasis|cellular response to insulin stimulus|cytosol|Fc-epsilon receptor signaling pathway|Fc-gamma receptor signaling pathway involved in phagocytosis|GTPase activator activity|insulin receptor signaling pathway|leukocyte migration|nucleus|phosphatidylinositol 3-kinase complex|phosphatidylinositol 3-kinase regulator activity|phosphatidylinositol 3-kinase signaling|phosphatidylinositol biosynthetic process|phosphatidylinositol phosphorylation|phosphatidylinositol-3-phosphate biosynthetic process|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|phosphatidylinositol-mediated signaling|phosphotyrosine binding|positive regulation of apoptotic process|positive regulation of glucose import in response to insulin stimulus|positive regulation of GTPase activity|positive regulation of transcription factor import into nucleus|positive regulation of transcription from RNA polymerase II promoter|protein binding|protein heterodimerization activity|protein phosphatase binding|protein transport|receptor tyrosine kinase binding|regulation of autophagy|regulation of phosphatidylinositol 3-kinase activity|regulation of phosphatidylinositol 3-kinase signaling|regulation of small GTPase mediated signal transduction|response to endoplasmic reticulum stress|signal transduction|T cell receptor signaling pathway|transport|vascular endothelial growth factor receptor signaling pathway",PIK3R2
WBGene00000001,ENSG00000117461,COMPARA|COMPARA88|COMPARA89|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,6,aap-1,Y110A7A.10,,"INTERPRO:IPR000980 ""SH2 domain""|INTERPRO:IPR001720 ""PI3K p85 subunit""",SM00252,1-phosphatidylinositol-3-kinase activity|1-phosphatidylinositol-3-kinase regulator activity|cytosol|insulin receptor signaling pathway|phosphatidylinositol 3-kinase complex|phosphatidylinositol 3-kinase regulator activity|phosphatidylinositol biosynthetic process|phosphatidylinositol-3-phosphate biosynthetic process|phosphotyrosine binding|positive regulation of glucose import in response to insulin stimulus|protein binding|regulation of phosphatidylinositol 3-kinase activity,PIK3R3
WBGene00000001,ENSG00000145675,COMPARA88|COMPARA89|HOMOLOGENE|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,6,aap-1,Y110A7A.10,,"INTERPRO:IPR000980 ""SH2 domain""|INTERPRO:IPR001720 ""PI3K p85 subunit""",SM00252|SM00324|SM00326,"1-phosphatidylinositol-3-kinase activity|1-phosphatidylinositol-3-kinase regulator activity|axon guidance|B cell differentiation|cell-cell junction|cellular glucose homeostasis|cellular response to insulin stimulus|cellular response to UV|cis-Golgi network|cytoplasm|cytosol|epidermal growth factor receptor signaling pathway|ErbB-3 class receptor binding|ERBB2 signaling pathway|extrinsic apoptotic signaling pathway via death domain receptors|Fc-epsilon receptor signaling pathway|Fc-gamma receptor signaling pathway involved in phagocytosis|growth hormone receptor signaling pathway|insulin binding|insulin receptor binding|insulin receptor signaling pathway|insulin receptor substrate binding|insulin-like growth factor receptor binding|insulin-like growth factor receptor signaling pathway|intrinsic apoptotic signaling pathway in response to DNA damage|leukocyte migration|membrane|negative regulation of apoptotic process|negative regulation of cell adhesion|negative regulation of cell-matrix adhesion|negative regulation of osteoclast differentiation|neurotrophin TRKA receptor binding|NFAT protein import into nucleus|nucleus|perinuclear endoplasmic reticulum membrane|phosphatidylinositol 3-kinase binding|phosphatidylinositol 3-kinase complex|phosphatidylinositol 3-kinase complex, class IA|phosphatidylinositol 3-kinase regulator activity|phosphatidylinositol 3-kinase regulatory subunit binding|phosphatidylinositol 3-kinase signaling|phosphatidylinositol biosynthetic process|phosphatidylinositol phosphorylation|phosphatidylinositol-3-phosphate biosynthetic process|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|phosphatidylinositol-mediated signaling|phosphotyrosine binding|plasma membrane|platelet activation|positive regulation of cell migration|positive regulation of endoplasmic reticulum unfolded protein response|positive regulation of establishment of protein localization to plasma membrane|positive regulation of glucose import|positive regulation of glucose import in response to insulin stimulus|positive regulation of RNA splicing|positive regulation of transcription factor import into nucleus|positive regulation of transcription from RNA polymerase II promoter|positive regulation of tumor necrosis factor production|protein binding|protein complex|protein heterodimerization activity|protein phosphatase binding|protein phosphorylation|protein stabilization|protein transport|regulation of establishment of protein localization to plasma membrane|regulation of insulin receptor signaling pathway|regulation of phosphatidylinositol 3-kinase activity|regulation of phosphatidylinositol 3-kinase signaling|regulation of stress fiber assembly|response to endoplasmic reticulum stress|signal transduction|T cell costimulation|T cell receptor signaling pathway|transcription factor binding|transmembrane receptor protein tyrosine kinase adaptor activity|transport|vascular endothelial growth factor receptor signaling pathway|viral process",PIK3R1
WBGene00000002,ENSG00000021488,ORTHOMCL,1,aat-1,F27C8.1,IV-4P18,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|brush border membrane|integral component of membrane|integral component of plasma membrane|L-cystine transmembrane transporter activity|L-cystine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|protein binding|protein complex assembly|transport,SLC7A9
WBGene00000002,ENSG00000092068,COMPARA|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,4,aat-1,F27C8.1,IV-4P18,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|cytoplasm|extracellular exosome|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|metal ion homeostasis|neutral amino acid transmembrane transporter activity|neutral amino acid transport|organic cation transmembrane transporter activity|organic cation transport|peptide antigen binding|plasma membrane|protein binding|response to toxic substance|toxin transport|toxin transporter activity|transport,SLC7A8
WBGene00000002,ENSG00000103064,COMPARA|COMPARA89|HOMOLOGENE|ORTHOINSPECTOR|ORTHOMCL,5,aat-1,F27C8.1,IV-4P18,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|transport,SLC7A6
WBGene00000002,ENSG00000103257,COMPARA|INPARANOID|ORTHOINSPECTOR|ORTHOMCL,4,aat-1,F27C8.1,IV-4P18,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|cell differentiation|cellular amino acid metabolic process|cytoplasm|cytosol|extracellular exosome|integral component of membrane|integral component of plasma membrane|intracellular membrane-bounded organelle|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|L-amino acid transport|leukocyte migration|membrane|multicellular organism development|nervous system development|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|transport,SLC7A5
WBGene00000002,ENSG00000130876,COMPARA|ORTHOMCL,2,aat-1,F27C8.1,IV-4P18,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|D-alanine transport|D-serine transport|integral component of membrane|integral component of plasma membrane|L-serine transmembrane transporter activity|L-serine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|plasma membrane|transport,SLC7A10
WBGene00000002,ENSG00000155465,COMPARA|COMPARA89|ORTHOINSPECTOR|ORTHOMCL,4,aat-1,F27C8.1,IV-4P18,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|basic amino acid transmembrane transport|basic amino acid transmembrane transporter activity|basolateral plasma membrane|cellular amino acid metabolic process|integral component of membrane|integral component of plasma membrane|L-alpha-amino acid transmembrane transport|L-amino acid transmembrane transporter activity|leukocyte migration|membrane|plasma membrane|protein complex assembly|regulation of arginine metabolic process|transport,SLC7A7
WBGene00000003,ENSG00000021488,ORTHOMCL,1,aat-2,F07C3.7,V-6D11,"INTERPRO:IPR002293 ""Amino acid/polyamine transporter I""",,amino acid transmembrane transport|amino acid transmembrane transporter activity|amino acid transport|antiporter activity|apical plasma membrane|brush border membrane|integral component of membrane|integral component of plasma membrane|L-cystine transmembrane transporter activity|L-cystine transport|leukocyte migration|membrane|neutral amino acid transmembrane transporter activity|neutral amino acid transport|peptide antigen binding|plasma membrane|protein binding|protein complex assembly|transport,SLC7A9
