CE_WB_CURRENT,HS_ENSG,CE_WB_OLD,CE_WB_COMMENT,CE_UNIPROT,HS_UNIPROT
WBGene00000001,ENSG00000105647,WBGene00000001,,G5EDP9,O00459
WBGene00000001,ENSG00000117461,WBGene00000001,,G5EDP9,Q92569
WBGene00000001,ENSG00000145675,WBGene00000001,,G5EDP9,P27986
WBGene00000002,ENSG00000092068,WBGene00000002,,Q19834,Q9UHI5
WBGene00000002,ENSG00000103064,WBGene00000002,,Q19834,Q92536
WBGene00000002,ENSG00000103257,WBGene00000002,,Q19834,Q01650
WBGene00000002,ENSG00000155465,WBGene00000002,,Q19834,Q9UM01
WBGene00000004,ENSG00000092068,WBGene00000004,,O17395,Q9UHI5
WBGene00000004,ENSG00000103064,WBGene00000004,,O17395,Q92536
WBGene00000004,ENSG00000103257,WBGene00000004,,O17395,Q01650
WBGene00000004,ENSG00000155465,WBGene00000004,,O17395,Q9UM01
WBGene00000018,ENSG00000097007,WBGene00000018,,P03949,P00519
WBGene00000018,ENSG00000143322,WBGene00000018,,P03949,P42684
WBGene00000020,ENSG00000064687,WBGene00000020,,Q1RS86,Q8IZY2
WBGene00000020,ENSG00000144452,WBGene00000020,,Q1RS86,Q86UK0
WBGene00000020,ENSG00000165029,WBGene00000020,,Q1RS86,O95477
WBGene00000020,ENSG00000179869,WBGene00000020,,Q1RS86,Q86UQ4
WBGene00000020,ENSG00000198691,WBGene00000020,,Q1RS86,P78363
WBGene00000022,ENSG00000167972,WBGene00000022,,Q9TXV8,Q99758
WBGene00000035,ENSG00000087085,WBGene00000035,,P38433,P22303
WBGene00000035,ENSG00000114200,WBGene00000035,,P38433,P06276
WBGene00000039,ENSG00000130234,WBGene00000039,,Q18581,Q9BYF1
WBGene00000039,ENSG00000159640,WBGene00000039,,Q18581,P12821
WBGene00000040,ENSG00000122729,WBGene00000040,,Q23500,P21399
WBGene00000041,ENSG00000100412,WBGene00000041,,P34455,Q99798
WBGene00000048,ENSG00000166664,WBGene00000048,,Q18556,Q494W8
WBGene00000048,ENSG00000175344,WBGene00000048,,Q18556,P36544
WBGene00000050,ENSG00000166664,WBGene00000050,,P91197,Q494W8
WBGene00000050,ENSG00000166664,WBGene00000050,,P91197,Q494W8
WBGene00000050,ENSG00000175344,WBGene00000050,,P91197,P36544
WBGene00000050,ENSG00000175344,WBGene00000050,,P91197,P36544
WBGene00000055,ENSG00000166664,WBGene00000055,,P48180,Q494W8
WBGene00000055,ENSG00000166664,WBGene00000055,,P48180,Q494W8
WBGene00000055,ENSG00000175344,WBGene00000055,,P48180,P36544
WBGene00000055,ENSG00000175344,WBGene00000055,,P48180,P36544
WBGene00000060,ENSG00000174343,WBGene00000060,,Q9N5U8,Q9UGM1
WBGene00000063,ENSG00000075624,WBGene00000063,,P10983,P60709
WBGene00000063,ENSG00000184009,WBGene00000063,,P10983,P63261
WBGene00000064,ENSG00000075624,WBGene00000064,,P10984,P60709
WBGene00000064,ENSG00000184009,WBGene00000064,,P10984,P63261
WBGene00000065,ENSG00000075624,WBGene00000065,,P10983,P60709
WBGene00000065,ENSG00000184009,WBGene00000065,,P10983,P63261
WBGene00000066,ENSG00000075624,WBGene00000066,,P10986,P60709
WBGene00000066,ENSG00000184009,WBGene00000066,,P10986,P63261
WBGene00000068,ENSG00000162104,WBGene00000068,,Q19523,O60503
WBGene00000071,ENSG00000078295,WBGene00000071,,Q966F9,Q08462
WBGene00000071,ENSG00000138031,WBGene00000071,,Q966F9,O60266
WBGene00000071,ENSG00000155897,WBGene00000071,,Q966F9,P40145
WBGene00000071,ENSG00000164742,WBGene00000071,,Q966F9,Q08828
WBGene00000071,ENSG00000173175,WBGene00000071,,Q966F9,O95622
WBGene00000071,ENSG00000174233,WBGene00000071,,Q966F9,O43306
WBGene00000072,ENSG00000075340,WBGene00000072,,G8JYB0,P35612
WBGene00000072,ENSG00000075340,WBGene00000072,,Q9U9K0,P35612
WBGene00000072,ENSG00000087274,WBGene00000072,,G8JYB0,P35611
WBGene00000072,ENSG00000087274,WBGene00000072,,Q9U9K0,P35611
WBGene00000072,ENSG00000148700,WBGene00000072,,G8JYB0,Q9UEY8
