Gene stable ID	Transcript stable ID	Human gene stable ID	Human gene name
WBGene00000001	Y110A7A.10	ENSG00000117461	PIK3R3
WBGene00000001	Y110A7A.10	ENSG00000105647	PIK3R2
WBGene00000001	Y110A7A.10	ENSG00000145675	PIK3R1
WBGene00000001	Y110A7A.10	ENSG00000278139	RP4-533D7.6
WBGene00000001	Y110A7A.10	ENSG00000268173	AC007192.4
WBGene00000003	F07C3.7	ENSG00000103064	SLC7A6
WBGene00000003	F07C3.7	ENSG00000155465	SLC7A7
WBGene00000018	M79.1a	ENSG00000097007	ABL1
WBGene00000018	M79.1b	ENSG00000097007	ABL1
WBGene00000018	M79.1c	ENSG00000097007	ABL1
WBGene00000018	M79.1a	ENSG00000143322	ABL2
WBGene00000018	M79.1b	ENSG00000143322	ABL2
WBGene00000018	M79.1c	ENSG00000143322	ABL2
WBGene00000020	F12B6.1a	ENSG00000107331	ABCA2
WBGene00000020	F12B6.1b	ENSG00000107331	ABCA2
WBGene00000020	F12B6.1a	ENSG00000165029	ABCA1
WBGene00000020	F12B6.1b	ENSG00000165029	ABCA1
WBGene00000020	F12B6.1a	ENSG00000064687	ABCA7
WBGene00000020	F12B6.1b	ENSG00000064687	ABCA7
WBGene00000020	F12B6.1a	ENSG00000179869	ABCA13
WBGene00000020	F12B6.1b	ENSG00000179869	ABCA13
WBGene00000020	F12B6.1a	ENSG00000198691	ABCA4
WBGene00000020	F12B6.1b	ENSG00000198691	ABCA4
WBGene00000020	F12B6.1a	ENSG00000144452	ABCA12
WBGene00000020	F12B6.1b	ENSG00000144452	ABCA12
WBGene00000035	W09B12.1.1	ENSG00000114200	BCHE
WBGene00000035	W09B12.1.2	ENSG00000114200	BCHE
WBGene00000035	W09B12.1.1	ENSG00000087085	ACHE
WBGene00000035	W09B12.1.2	ENSG00000087085	ACHE
WBGene00000039	C42D8.5a	ENSG00000130234	ACE2
WBGene00000039	C42D8.5b	ENSG00000130234	ACE2
WBGene00000039	C42D8.5a	ENSG00000159640	ACE
WBGene00000039	C42D8.5b	ENSG00000159640	ACE
WBGene00000039	C42D8.5a	ENSG00000147003	TMEM27
WBGene00000039	C42D8.5b	ENSG00000147003	TMEM27
WBGene00000039	C42D8.5a	ENSG00000264813	CTD-2501B8.1
WBGene00000039	C42D8.5b	ENSG00000264813	CTD-2501B8.1
WBGene00000040	ZK455.1	ENSG00000122729	ACO1
WBGene00000040	ZK455.1	ENSG00000136381	IREB2
WBGene00000041	F54H12.1a	ENSG00000100412	ACO2
WBGene00000041	F54H12.1b	ENSG00000100412	ACO2
WBGene00000041	F54H12.1c.1	ENSG00000100412	ACO2
WBGene00000041	F54H12.1c.2	ENSG00000100412	ACO2
WBGene00000042	K11G12.2	ENSG00000170175	CHRNB1
WBGene00000042	K11G12.2	ENSG00000108556	CHRNE
WBGene00000042	K11G12.2	ENSG00000135902	CHRND
WBGene00000042	K11G12.2	ENSG00000196811	CHRNG
WBGene00000043	K11G12.7	ENSG00000170175	CHRNB1
WBGene00000043	K11G12.7	ENSG00000108556	CHRNE
WBGene00000043	K11G12.7	ENSG00000135902	CHRND
WBGene00000043	K11G12.7	ENSG00000196811	CHRNG
WBGene00000044	K03F8.2	ENSG00000149305	HTR3B
WBGene00000044	K03F8.2	ENSG00000178084	HTR3C
WBGene00000044	K03F8.2	ENSG00000186090	HTR3D
WBGene00000044	K03F8.2	ENSG00000186038	HTR3E
WBGene00000044	K03F8.2	ENSG00000166736	HTR3A
WBGene00000044	K03F8.2	ENSG00000186919	ZACN
WBGene00000045	ZK973.5	ENSG00000169684	CHRNA5
WBGene00000045	ZK973.5	ENSG00000147432	CHRNB3
WBGene00000045	ZK973.5	ENSG00000138435	CHRNA1
WBGene00000045	ZK973.5	ENSG00000101204	CHRNA4
WBGene00000045	ZK973.5	ENSG00000147434	CHRNA6
WBGene00000045	ZK973.5	ENSG00000117971	CHRNB4
WBGene00000045	ZK973.5	ENSG00000080644	CHRNA3
WBGene00000045	ZK973.5	ENSG00000120903	CHRNA2
WBGene00000045	ZK973.5	ENSG00000160716	CHRNB2
WBGene00000046	T09A5.3	ENSG00000166664	CHRFAM7A
WBGene00000046	T09A5.3	ENSG00000175344	CHRNA7
WBGene00000047	ZC504.2	ENSG00000169684	CHRNA5
WBGene00000047	ZC504.2	ENSG00000147432	CHRNB3
WBGene00000047	ZC504.2	ENSG00000138435	CHRNA1
WBGene00000047	ZC504.2	ENSG00000101204	CHRNA4
WBGene00000047	ZC504.2	ENSG00000147434	CHRNA6
WBGene00000047	ZC504.2	ENSG00000117971	CHRNB4
WBGene00000047	ZC504.2	ENSG00000080644	CHRNA3
WBGene00000047	ZC504.2	ENSG00000120903	CHRNA2
WBGene00000047	ZC504.2	ENSG00000160716	CHRNB2
WBGene00000048	C40C9.2	ENSG00000166664	CHRFAM7A
WBGene00000048	C40C9.2	ENSG00000175344	CHRNA7
WBGene00000049	R02E12.8	ENSG00000166664	CHRFAM7A
WBGene00000049	R02E12.8	ENSG00000175344	CHRNA7
WBGene00000050	D2092.3	ENSG00000166664	CHRFAM7A
WBGene00000050	D2092.3	ENSG00000175344	CHRNA7
WBGene00000051	R01E6.4a	ENSG00000169684	CHRNA5
WBGene00000051	R01E6.4b	ENSG00000169684	CHRNA5
WBGene00000051	R01E6.4a	ENSG00000147432	CHRNB3
WBGene00000051	R01E6.4b	ENSG00000147432	CHRNB3
WBGene00000051	R01E6.4a	ENSG00000138435	CHRNA1
WBGene00000051	R01E6.4b	ENSG00000138435	CHRNA1
WBGene00000051	R01E6.4a	ENSG00000101204	CHRNA4
WBGene00000051	R01E6.4b	ENSG00000101204	CHRNA4
WBGene00000051	R01E6.4a	ENSG00000147434	CHRNA6
WBGene00000051	R01E6.4b	ENSG00000147434	CHRNA6
WBGene00000051	R01E6.4a	ENSG00000117971	CHRNB4
WBGene00000051	R01E6.4b	ENSG00000117971	CHRNB4
WBGene00000051	R01E6.4a	ENSG00000080644	CHRNA3
WBGene00000051	R01E6.4b	ENSG00000080644	CHRNA3
WBGene00000051	R01E6.4a	ENSG00000120903	CHRNA2
WBGene00000051	R01E6.4b	ENSG00000120903	CHRNA2
WBGene00000051	R01E6.4a	ENSG00000160716	CHRNB2
WBGene00000051	R01E6.4b	ENSG00000160716	CHRNB2
WBGene00000053	T05C12.2	ENSG00000166664	CHRFAM7A
WBGene00000053	T05C12.2	ENSG00000175344	CHRNA7
WBGene00000054	F25G6.4	ENSG00000166664	CHRFAM7A
WBGene00000054	F25G6.4	ENSG00000175344	CHRNA7
WBGene00000055	F25G6.3	ENSG00000166664	CHRFAM7A
WBGene00000055	F25G6.3	ENSG00000175344	CHRNA7
WBGene00000056	F53E10.2a	ENSG00000149305	HTR3B
WBGene00000056	F53E10.2b	ENSG00000149305	HTR3B
WBGene00000056	F53E10.2a	ENSG00000178084	HTR3C
WBGene00000056	F53E10.2b	ENSG00000178084	HTR3C
WBGene00000056	F53E10.2a	ENSG00000186090	HTR3D
WBGene00000056	F53E10.2b	ENSG00000186090	HTR3D
WBGene00000056	F53E10.2a	ENSG00000186038	HTR3E
WBGene00000056	F53E10.2b	ENSG00000186038	HTR3E
WBGene00000056	F53E10.2a	ENSG00000166736	HTR3A
WBGene00000056	F53E10.2b	ENSG00000166736	HTR3A
WBGene00000056	F53E10.2a	ENSG00000186919	ZACN
WBGene00000056	F53E10.2b	ENSG00000186919	ZACN
WBGene00000057	F28F8.1	ENSG00000149305	HTR3B
WBGene00000057	F28F8.1	ENSG00000178084	HTR3C
WBGene00000057	F28F8.1	ENSG00000186090	HTR3D
WBGene00000057	F28F8.1	ENSG00000186038	HTR3E
WBGene00000057	F28F8.1	ENSG00000166736	HTR3A
WBGene00000057	F28F8.1	ENSG00000186919	ZACN
WBGene00000058	C31H5.3a	ENSG00000166664	CHRFAM7A
WBGene00000058	C31H5.3b	ENSG00000166664	CHRFAM7A
WBGene00000058	C31H5.3a	ENSG00000175344	CHRNA7
WBGene00000058	C31H5.3b	ENSG00000175344	CHRNA7
WBGene00000059	R06A4.10a	ENSG00000149305	HTR3B
WBGene00000059	R06A4.10b	ENSG00000149305	HTR3B
WBGene00000059	R06A4.10c	ENSG00000149305	HTR3B
WBGene00000059	R06A4.10a	ENSG00000178084	HTR3C
WBGene00000059	R06A4.10b	ENSG00000178084	HTR3C
WBGene00000059	R06A4.10c	ENSG00000178084	HTR3C
WBGene00000059	R06A4.10a	ENSG00000186090	HTR3D
WBGene00000059	R06A4.10b	ENSG00000186090	HTR3D
WBGene00000059	R06A4.10c	ENSG00000186090	HTR3D
WBGene00000059	R06A4.10a	ENSG00000186038	HTR3E
WBGene00000059	R06A4.10b	ENSG00000186038	HTR3E
WBGene00000059	R06A4.10c	ENSG00000186038	HTR3E
WBGene00000059	R06A4.10a	ENSG00000166736	HTR3A
WBGene00000059	R06A4.10b	ENSG00000166736	HTR3A
WBGene00000059	R06A4.10c	ENSG00000166736	HTR3A
WBGene00000059	R06A4.10a	ENSG00000186919	ZACN
WBGene00000059	R06A4.10b	ENSG00000186919	ZACN
WBGene00000059	R06A4.10c	ENSG00000186919	ZACN
WBGene00000060	F27B3.2	ENSG00000174343	CHRNA9
WBGene00000060	F27B3.2	ENSG00000129749	CHRNA10
WBGene00000061	F48E3.7	ENSG00000149305	HTR3B
WBGene00000061	F48E3.7	ENSG00000178084	HTR3C
WBGene00000061	F48E3.7	ENSG00000186090	HTR3D
WBGene00000061	F48E3.7	ENSG00000186038	HTR3E
WBGene00000061	F48E3.7	ENSG00000166736	HTR3A
WBGene00000061	F48E3.7	ENSG00000186919	ZACN
WBGene00000062	F59B1.9	ENSG00000149305	HTR3B
WBGene00000062	F59B1.9	ENSG00000178084	HTR3C
WBGene00000062	F59B1.9	ENSG00000186090	HTR3D
WBGene00000062	F59B1.9	ENSG00000186038	HTR3E
WBGene00000062	F59B1.9	ENSG00000166736	HTR3A
WBGene00000062	F59B1.9	ENSG00000186919	ZACN
WBGene00000063	T04C12.6.1	ENSG00000169067	ACTBL2
WBGene00000063	T04C12.6.2	ENSG00000169067	ACTBL2
WBGene00000063	T04C12.6.3	ENSG00000169067	ACTBL2
WBGene00000063	T04C12.6.4	ENSG00000169067	ACTBL2
WBGene00000064	T04C12.5.1	ENSG00000169067	ACTBL2
WBGene00000064	T04C12.5.2	ENSG00000169067	ACTBL2
WBGene00000065	T04C12.4.1	ENSG00000169067	ACTBL2
WBGene00000065	T04C12.4.2	ENSG00000169067	ACTBL2
WBGene00000065	T04C12.4.3	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2a	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2b.1	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2b.2	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2b.3	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2b.4	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2b.5	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2b.6	ENSG00000169067	ACTBL2
WBGene00000066	M03F4.2c	ENSG00000169067	ACTBL2
WBGene00000067	T25C8.2.1	ENSG00000163017	ACTG2
WBGene00000067	T25C8.2.2	ENSG00000163017	ACTG2
WBGene00000067	T25C8.2.1	ENSG00000143632	ACTA1
WBGene00000067	T25C8.2.2	ENSG00000143632	ACTA1
WBGene00000067	T25C8.2.1	ENSG00000107796	ACTA2
WBGene00000067	T25C8.2.2	ENSG00000107796	ACTA2
WBGene00000067	T25C8.2.1	ENSG00000159251	ACTC1
WBGene00000067	T25C8.2.2	ENSG00000159251	ACTC1
WBGene00000068	F17C8.1	ENSG00000162104	ADCY9
WBGene00000069	C10F3.3	ENSG00000078295	ADCY2
WBGene00000069	C10F3.3	ENSG00000121281	ADCY7
WBGene00000069	C10F3.3	ENSG00000129467	ADCY4
WBGene00000070	C44F1.5	ENSG00000164742	ADCY1
