From	To
A0AV02	ENSG00000221955
A0AVF1	ENSG00000105948
A0AVI2	ENSG00000249715
A0AVI4	ENSG00000168936
A0FGR8	ENSG00000117868
A0FGR9	ENSG00000158220
A0JLT2	ENSG00000156603
A0JNW5	ENSG00000111647
A0PG75	ENSG00000231213
A0PK00	ENSG00000188735
A1A4S6	ENSG00000071205
A1A5B4	ENSG00000185101
A1KZ92	ENSG00000147485
A1L0T0	ENSG00000105135
A1L390	ENSG00000126822
A1L4K1	ENSG00000186628
A1YPR0	ENSG00000184828
A1Z1Q3	ENSG00000172264
A2BFH1	ENSG00000236334
A2BFH1	ENSG00000263464
A2RRD8	ENSG00000182986
A2RRP1	ENSG00000151779
A2RTX5	ENSG00000185418
A2RUH7	ENSG00000221986
A2VCK2	ENSG00000222046
A3KFT3	ENSG00000162727
A3KMH1	ENSG00000102763
A3KN83	ENSG00000139697
A4D1E9	ENSG00000105793
A4D1S5	ENSG00000146955
A4D2B0	ENSG00000214309
A4D2G3	ENSG00000221933
A4IF30	ENSG00000151812
A5D6W6	ENSG00000139914
A5D8V6	ENSG00000167987
A5LHX3	ENSG00000222028
A5PKW4	ENSG00000059915
A5PLL7	ENSG00000240849
A5PLN9	ENSG00000113597
A5YKK6	ENSG00000125107
A6BM72	ENSG00000157890
A6NC98	ENSG00000168071
A6NCE7	ENSG00000258102
A6NCS4	ENSG00000180053
A6NCV1	ENSG00000197706
A6ND48	ENSG00000189181
A6ND91	ENSG00000204653
A6NDG6	ENSG00000184207
A6NDH6	ENSG00000233412
A6NDI0	ENSG00000182053
A6NDK9	ENSG00000167195
A6NDL8	ENSG00000205327
A6NDN3	ENSG00000215186
A6NDZ8	ENSG00000205718
A6NE02	ENSG00000204347
A6NE82	ENSG00000182315
A6NEE1	ENSG00000175985
A6NET4	ENSG00000206536
A6NF89	ENSG00000188324
A6NFA1	ENSG00000269113
A6NFH5	ENSG00000197416
A6NFI3	ENSG00000205903
A6NFU8	ENSG00000183571
A6NGB9	ENSG00000122574
A6NGC4	ENSG00000185561
A6NGC4	ENSG00000275246
A6NGD5	ENSG00000204532
A6NGJ6	ENSG00000204450
A6NGN9	ENSG00000142549
A6NGY5	ENSG00000280021
A6NH00	ENSG00000177462
A6NH11	ENSG00000182327
A6NH52	ENSG00000166676
A6NH57	ENSG00000141748
A6NHA9	ENSG00000185926
A6NHC0	ENSG00000203697
A6NHG4	ENSG00000099974
A6NHG4	ENSG00000275758
A6NHG9	ENSG00000236032
A6NHJ4	ENSG00000197385
A6NHN0	ENSG00000182447
A6NHT5	ENSG00000188620
A6NI03	ENSG00000189253
A6NI28	ENSG00000165895
A6NI47	ENSG00000222036
A6NIH7	ENSG00000175970
A6NIJ9	ENSG00000184954
A6NJ08	ENSG00000237247
A6NJ46	ENSG00000165066
A6NJL1	ENSG00000197213
A6NJZ3	ENSG00000205328
A6NK53	ENSG00000159915
A6NK59	ENSG00000239388
A6NK75	ENSG00000197360
A6NKB5	ENSG00000135749
A6NKF1	ENSG00000168061
A6NKF2	ENSG00000205143
A6NKF9	ENSG00000188092
A6NKK0	ENSG00000231192
A6NKP2	ENSG00000183921
A6NL08	ENSG00000187857
A6NL26	ENSG00000198283
A6NLF2	ENSG00000274744
A6NLP5	ENSG00000172425
A6NLU0	ENSG00000223638
A6NM03	ENSG00000188124
A6NM10	ENSG00000185176
A6NM28	ENSG00000189420
A6NM76	ENSG00000185821
A6NMS3	ENSG00000196098
A6NMX2	ENSG00000175766
A6NN14	ENSG00000196350
A6NNA5	ENSG00000165606
A6NND4	ENSG00000171561
A6NNF4	ENSG00000213967
A6NNS2	ENSG00000184544
A6NP11	ENSG00000182111
A6XGL0	ENSG00000250067
A7E2V4	ENSG00000214655
A7E2Y1	ENSG00000078814
A7MBM2	ENSG00000140323
A8K0Z3	ENSG00000181404
A8K8V0	ENSG00000197162
A8MQ14	ENSG00000267041
A8MQ27	ENSG00000214357
A8MT65	ENSG00000214029
A8MTJ6	ENSG00000214336
A8MTL3	ENSG00000215277
A8MTY0	ENSG00000196081
A8MUP2	ENSG00000214756
A8MUV8	ENSG00000214652
A8MUZ8	ENSG00000215372
A8MW95	ENSG00000196289
A8MWY0	ENSG00000164659
A8MXD5	ENSG00000215203
A8MXV4	ENSG00000213965
A8MXY4	ENSG00000213973
A8MYV0	ENSG00000214866
B0I1T2	ENSG00000136286
B0YJ81	ENSG00000165996
B1APH4	ENSG00000243660
B2RN74	ENSG00000257115
B2RNG4	ENSG00000258588
B2RNN3	ENSG00000205863
B2RTY4	ENSG00000066933
B2RU33	ENSG00000183206
B4DU55	ENSG00000234284
B4DX44	ENSG00000234444
B4DXR9	ENSG00000186777
B5MCN3	ENSG00000214491
B7U540	ENSG00000260458
B7Z6K7	ENSG00000204514
B7ZAQ6	ENSG00000117262
C9J1S8	ENSG00000223417
C9J1S8	ENSG00000233802
C9J366	ENSG00000283245
C9J798	ENSG00000170667
C9JE40	ENSG00000229474
C9JJ37	ENSG00000222009
C9JMV9	ENSG00000114786
C9JN71	ENSG00000257446
C9JRZ8	ENSG00000227471
D3W0D1	ENSG00000256797
F5H284	ENSG00000256374
F5H5T6	ENSG00000256591
F5H6K3	ENSG00000255641
F8VTS6	ENSG00000229292
F8W031	ENSG00000144785
F8W036	ENSG00000258311
F8W810	ENSG00000180574
G3V0H7	ENSG00000205754
G3V3Y1	ENSG00000258653
H0YAE9	ENSG00000249141
H0YHI0	ENSG00000125954
H0YIV9	ENSG00000111780
H0YNI0	ENSG00000118707
H3BMM0	ENSG00000258677
H3BNX3	ENSG00000260170
H3BPF8	ENSG00000261739
H3BPM6	ENSG00000225526
H3BQ06	ENSG00000260272
H3BQF6	ENSG00000258539
H3BQZ7	ENSG00000234857
H3BRB1	ENSG00000255508
H3BRJ5	ENSG00000248710
H3BRW5	ENSG00000255292
H3BU86	ENSG00000254995
H3BUS1	ENSG00000254806
