A2BEX4,ENSG00000264619
A6NCK2,ENSG00000144010
A6NK02,ENSG00000250374
C9JQ55,ENSG00000186008
E7EMT2,ENSG00000232856
H7BY17,ENSG00000197426
P21108,ENSG00000229937
Q14409,ENSG00000229894
Q4TT42,ENSG00000224236
Q7RTY9,ENSG00000215148
Q86VQ6,ENSG00000197763
Q9BYB0,ENSG00000283243
