HS_ENSG,Gene/Locus MIM number,Phenotype and Phenotype MIM number
ENSG00000132703,104770," Amyloidosis, secondary, susceptibility to"
ENSG00000181804,608396," Autism susceptibility 16, 613410"
ENSG00000116031,604862," Birbeck granule deficiency, 613393"
ENSG00000124588,160998," Breast cancer susceptibility, 114480"
ENSG00000131323,601896," Herpes simplex encephalitis, susceptibility to, 3, 614849"
ENSG00000126456,603734," Herpes simplex encephalitis, susceptibility to, 7, 616532"
ENSG00000115263,138030, Hyperproglucagonemia
ENSG00000005187,145505," Hypertension, essential"
ENSG00000151790,191070," Hypertryptophanemia, 600627"
ENSG00000136158,602466," IgA nephropathy, susceptibility to, 3, 616818"
ENSG00000164326,602606," Obesity, susceptibility to, 601665"
ENSG00000135324,615410," Obesity, susceptibility to, BMIQ18, 615457"
ENSG00000175309,614683," Phosphohydroxylysinuria, 615011"
ENSG00000157168,142445," Schizophrenia, susceptibility to, 603013"
ENSG00000148702,603924," Thyroid cancer, nonmedullary, 5, 616535 | Venous thromboembolism, susceptibility to, 188050"
ENSG00000148795,609300,"17,20-lyase deficiency, isolated, 202110 | 17-alpha-hydroxylase/17,20-lyase deficiency, 202110"
ENSG00000181192,614984,"2-aminoadipic 2-oxoadipic aciduria, 204750 | Charcot-Marie-Tooth disease, axonal, type 2Q, 615025"
ENSG00000196177,600301,"2-methylbutyrylglycinuria, 610006"
ENSG00000152620,615787,"2,4-dienoyl-CoA reductase deficiency, 616034"
ENSG00000138796,601609,"3-hydroxyacyl-CoA dehydrogenase deficiency, 231530 | Hyperinsulinemic hypoglycemia, familial, 4, 609975"
ENSG00000198130,610690,"3-hydroxyisobutryl-CoA hydrolase deficiency, 250620"
ENSG00000044090,609577,"3-M syndrome 1, 273750"
ENSG00000124006,610991,"3-M syndrome 2, 612921"
ENSG00000169515,614145,"3-M syndrome 3, 614205"
ENSG00000078070,609010,"3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200"
ENSG00000131844,609014,"3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210"
ENSG00000122335,614725,"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome, 614739"
ENSG00000148090,600529,"3-methylglutaconic aciduria, type I, 250950"
ENSG00000125741,606580,"3-methylglutaconic aciduria, type III, 258501 | Optic atrophy 3 with cataract, 165300"
ENSG00000105197,607381,"3-methylglutaconic aciduria, type IX, 617698"
ENSG00000205981,608977,"3-methylglutaconic aciduria, type V, 610198"
