CE_WB_CURRENT,HS_ENSG,CE_WB_OLD,CE_WB_COMMENT
WBGene00000001,ENSG00000145675,WBGene00000001,
WBGene00000002,ENSG00000103257,WBGene00000002,
WBGene00000018,ENSG00000097007,WBGene00000018,
WBGene00000020,ENSG00000165029,WBGene00000020,
WBGene00000022,ENSG00000144452,WBGene00000022,
WBGene00000022,ENSG00000167972,WBGene00000022,
WBGene00000022,ENSG00000179869,WBGene00000022,
WBGene00000035,ENSG00000087085,WBGene00000035,
WBGene00000039,ENSG00000159640,WBGene00000039,
WBGene00000040,ENSG00000122729,WBGene00000040,
WBGene00000040,ENSG00000136381,WBGene00000040,
WBGene00000041,ENSG00000100412,WBGene00000041,
WBGene00000055,ENSG00000175344,WBGene00000055,
WBGene00000060,ENSG00000174343,WBGene00000060,
WBGene00000063,ENSG00000075624,WBGene00000063,
WBGene00000063,ENSG00000107796,WBGene00000063,
WBGene00000063,ENSG00000143632,WBGene00000063,
WBGene00000063,ENSG00000159251,WBGene00000063,
WBGene00000063,ENSG00000163017,WBGene00000063,
WBGene00000063,ENSG00000169067,WBGene00000063,
WBGene00000063,ENSG00000184009,WBGene00000063,
WBGene00000063,ENSG00000188219,WBGene00000063,
WBGene00000063,ENSG00000196604,WBGene00000063,
WBGene00000063,ENSG00000196834,WBGene00000063,
WBGene00000063,ENSG00000222038,WBGene00000063,
WBGene00000064,ENSG00000075624,WBGene00000064,
WBGene00000064,ENSG00000107796,WBGene00000064,
WBGene00000064,ENSG00000143632,WBGene00000064,
WBGene00000064,ENSG00000159251,WBGene00000064,
WBGene00000064,ENSG00000163017,WBGene00000064,
WBGene00000064,ENSG00000169067,WBGene00000064,
WBGene00000064,ENSG00000184009,WBGene00000064,
WBGene00000064,ENSG00000188219,WBGene00000064,
WBGene00000064,ENSG00000196604,WBGene00000064,
WBGene00000064,ENSG00000196834,WBGene00000064,
WBGene00000064,ENSG00000222038,WBGene00000064,
WBGene00000065,ENSG00000075624,WBGene00000065,
WBGene00000065,ENSG00000107796,WBGene00000065,
WBGene00000065,ENSG00000143632,WBGene00000065,
WBGene00000065,ENSG00000159251,WBGene00000065,
WBGene00000065,ENSG00000163017,WBGene00000065,
WBGene00000065,ENSG00000169067,WBGene00000065,
WBGene00000065,ENSG00000184009,WBGene00000065,
WBGene00000065,ENSG00000188219,WBGene00000065,
WBGene00000065,ENSG00000196604,WBGene00000065,
WBGene00000065,ENSG00000196834,WBGene00000065,
WBGene00000065,ENSG00000222038,WBGene00000065,
WBGene00000066,ENSG00000075624,WBGene00000066,
WBGene00000066,ENSG00000107796,WBGene00000066,
WBGene00000066,ENSG00000143632,WBGene00000066,
WBGene00000066,ENSG00000159251,WBGene00000066,
WBGene00000066,ENSG00000163017,WBGene00000066,
WBGene00000066,ENSG00000169067,WBGene00000066,
WBGene00000066,ENSG00000184009,WBGene00000066,
WBGene00000066,ENSG00000188219,WBGene00000066,
WBGene00000066,ENSG00000196604,WBGene00000066,
WBGene00000066,ENSG00000196834,WBGene00000066,
WBGene00000066,ENSG00000222038,WBGene00000066,
WBGene00000067,ENSG00000075624,WBGene00000067,
WBGene00000067,ENSG00000107796,WBGene00000067,
WBGene00000067,ENSG00000143632,WBGene00000067,
WBGene00000067,ENSG00000159251,WBGene00000067,
WBGene00000067,ENSG00000163017,WBGene00000067,
WBGene00000067,ENSG00000169067,WBGene00000067,
WBGene00000067,ENSG00000184009,WBGene00000067,
WBGene00000067,ENSG00000188219,WBGene00000067,
WBGene00000067,ENSG00000196604,WBGene00000067,
WBGene00000067,ENSG00000196834,WBGene00000067,
WBGene00000067,ENSG00000222038,WBGene00000067,
WBGene00000068,ENSG00000162104,WBGene00000068,
WBGene00000069,ENSG00000129467,WBGene00000069,
WBGene00000071,ENSG00000173175,WBGene00000071,
WBGene00000072,ENSG00000087274,WBGene00000072,
WBGene00000074,ENSG00000148848,WBGene00000074,
WBGene00000075,ENSG00000151694,WBGene00000075,
WBGene00000080,ENSG00000197381,WBGene00000080,
WBGene00000081,ENSG00000018510,WBGene00000081,
WBGene00000086,ENSG00000110514,WBGene00000086,
WBGene00000089,ENSG00000069974,WBGene00000089,
WBGene00000090,ENSG00000121879,WBGene00000090,
WBGene00000092,ENSG00000121957,WBGene00000092,
WBGene00000095,ENSG00000143437,WBGene00000095,
WBGene00000096,ENSG00000106546,WBGene00000096,
WBGene00000097,ENSG00000158552,WBGene00000097,
WBGene00000099,ENSG00000087586,WBGene00000099,
WBGene00000101,ENSG00000157077,WBGene00000101,
WBGene00000102,ENSG00000142208,WBGene00000102,
WBGene00000105,ENSG00000092847,WBGene00000105,
WBGene00000105,ENSG00000123908,WBGene00000105,
WBGene00000105,ENSG00000126070,WBGene00000105,
WBGene00000105,ENSG00000134698,WBGene00000105,
WBGene00000106,ENSG00000092847,WBGene00000106,
WBGene00000106,ENSG00000123908,WBGene00000106,
WBGene00000106,ENSG00000126070,WBGene00000106,
WBGene00000106,ENSG00000134698,WBGene00000106,
WBGene00000107,ENSG00000111275,WBGene00000107,
WBGene00000107,ENSG00000128918,WBGene00000107,
WBGene00000107,ENSG00000137124,WBGene00000107,
WBGene00000107,ENSG00000165092,WBGene00000107,
WBGene00000108,ENSG00000111275,WBGene00000108,
WBGene00000108,ENSG00000128918,WBGene00000108,
WBGene00000108,ENSG00000137124,WBGene00000108,
WBGene00000109,ENSG00000136010,WBGene00000109,
WBGene00000109,ENSG00000144908,WBGene00000109,
WBGene00000110,ENSG00000072210,WBGene00000110,
WBGene00000112,ENSG00000159423,WBGene00000112,
WBGene00000113,ENSG00000112294,WBGene00000113,
WBGene00000114,ENSG00000119711,WBGene00000114,
WBGene00000115,ENSG00000164904,WBGene00000115,
WBGene00000116,ENSG00000118514,WBGene00000116,
WBGene00000117,ENSG00000143149,WBGene00000117,
WBGene00000123,ENSG00000181222,WBGene00000123,
WBGene00000137,ENSG00000165097,WBGene00000137,
WBGene00000138,ENSG00000189221,WBGene00000138,
WBGene00000142,ENSG00000142230,WBGene00000142,
WBGene00000143,ENSG00000176248,WBGene00000143,
WBGene00000146,ENSG00000143514,WBGene00000146,
WBGene00000147,ENSG00000138613,WBGene00000147,
WBGene00000148,ENSG00000162736,WBGene00000148,
WBGene00000149,ENSG00000105290,WBGene00000149,
WBGene00000155,ENSG00000108039,WBGene00000155,
WBGene00000156,ENSG00000134982,WBGene00000156,
WBGene00000157,ENSG00000042753,WBGene00000157,
WBGene00000158,ENSG00000166747,WBGene00000158,
WBGene00000158,ENSG00000213983,WBGene00000158,
WBGene00000159,ENSG00000182287,WBGene00000159,
WBGene00000160,ENSG00000006125,WBGene00000160,
WBGene00000160,ENSG00000100280,WBGene00000160,
WBGene00000161,ENSG00000183020,WBGene00000161,
WBGene00000161,ENSG00000196961,WBGene00000161,
WBGene00000162,ENSG00000065000,WBGene00000162,
WBGene00000163,ENSG00000103723,WBGene00000163,
WBGene00000164,ENSG00000185009,WBGene00000164,
WBGene00000165,ENSG00000157823,WBGene00000165,
WBGene00000166,ENSG00000125447,WBGene00000166,
WBGene00000170,ENSG00000165272,WBGene00000170,
WBGene00000174,ENSG00000103375,WBGene00000174,
WBGene00000177,ENSG00000178301,WBGene00000177,
WBGene00000177,ENSG00000184945,WBGene00000177,
WBGene00000180,ENSG00000113595,WBGene00000180,
WBGene00000181,ENSG00000072506,WBGene00000181,
WBGene00000182,ENSG00000143761,WBGene00000182,
WBGene00000183,ENSG00000004059,WBGene00000183,
WBGene00000184,ENSG00000165527,WBGene00000184,
WBGene00000187,ENSG00000120805,WBGene00000187,
WBGene00000188,ENSG00000138175,WBGene00000188,
WBGene00000189,ENSG00000165997,WBGene00000189,
WBGene00000192,ENSG00000134108,WBGene00000192,
WBGene00000193,ENSG00000113966,WBGene00000193,
WBGene00000195,ENSG00000137486,WBGene00000195,
WBGene00000197,ENSG00000090861,WBGene00000197,
WBGene00000197,ENSG00000124608,WBGene00000197,
WBGene00000198,ENSG00000099797,WBGene00000198,
WBGene00000199,ENSG00000115091,WBGene00000199,
WBGene00000199,ENSG00000133627,WBGene00000199,
WBGene00000200,ENSG00000138071,WBGene00000200,
WBGene00000201,ENSG00000241685,WBGene00000201,
WBGene00000203,ENSG00000111229,WBGene00000203,
WBGene00000204,ENSG00000241553,WBGene00000204,
WBGene00000205,ENSG00000136950,WBGene00000205,
WBGene00000207,ENSG00000116459,WBGene00000207,
WBGene00000208,ENSG00000103671,WBGene00000208,
WBGene00000209,ENSG00000167283,WBGene00000209,
