WBGene00000001,ENSP00000379855
WBGene00000002,ENSP00000261622
WBGene00000018,ENSP00000361423
WBGene00000020,ENSP00000363868
WBGene00000022,ENSP00000371818
WBGene00000022,ENSP00000405133
WBGene00000022,ENSP00000411096
WBGene00000035,ENSP00000350037
WBGene00000039,ENSP00000290866
WBGene00000040,ENSP00000258886
WBGene00000040,ENSP00000369255
WBGene00000041,ENSP00000379769
WBGene00000055,ENSP00000405989
WBGene00000060,ENSP00000312663
WBGene00000063,ENSP00000224784
WBGene00000063,ENSP00000290378
WBGene00000063,ENSP00000295137
WBGene00000063,ENSP00000331514
WBGene00000063,ENSP00000349391
WBGene00000063,ENSP00000349960
WBGene00000063,ENSP00000350052
WBGene00000063,ENSP00000355645
WBGene00000063,ENSP00000387176
WBGene00000063,ENSP00000392718
WBGene00000063,ENSP00000416706
WBGene00000064,ENSP00000224784
WBGene00000064,ENSP00000290378
WBGene00000064,ENSP00000295137
WBGene00000064,ENSP00000331514
WBGene00000064,ENSP00000349391
WBGene00000064,ENSP00000349960
WBGene00000064,ENSP00000350052
WBGene00000064,ENSP00000355645
WBGene00000064,ENSP00000387176
WBGene00000064,ENSP00000392718
WBGene00000064,ENSP00000416706
WBGene00000065,ENSP00000224784
WBGene00000065,ENSP00000290378
WBGene00000065,ENSP00000295137
WBGene00000065,ENSP00000331514
WBGene00000065,ENSP00000349391
WBGene00000065,ENSP00000349960
WBGene00000065,ENSP00000350052
WBGene00000065,ENSP00000355645
WBGene00000065,ENSP00000387176
WBGene00000065,ENSP00000392718
WBGene00000065,ENSP00000416706
WBGene00000066,ENSP00000224784
WBGene00000066,ENSP00000290378
WBGene00000066,ENSP00000295137
WBGene00000066,ENSP00000331514
WBGene00000066,ENSP00000349391
WBGene00000066,ENSP00000349960
WBGene00000066,ENSP00000350052
WBGene00000066,ENSP00000355645
WBGene00000066,ENSP00000387176
WBGene00000066,ENSP00000392718
WBGene00000066,ENSP00000416706
WBGene00000067,ENSP00000224784
WBGene00000067,ENSP00000290378
WBGene00000067,ENSP00000295137
WBGene00000067,ENSP00000331514
WBGene00000067,ENSP00000349391
WBGene00000067,ENSP00000349960
WBGene00000067,ENSP00000350052
WBGene00000067,ENSP00000355645
WBGene00000067,ENSP00000387176
WBGene00000067,ENSP00000392718
WBGene00000067,ENSP00000416706
WBGene00000068,ENSP00000294016
WBGene00000069,ENSP00000312126
WBGene00000071,ENSP00000419361
WBGene00000072,ENSP00000264758
WBGene00000074,ENSP00000357668
WBGene00000075,ENSP00000309968
WBGene00000080,ENSP00000374512
WBGene00000081,ENSP00000264167
WBGene00000086,ENSP00000310933
WBGene00000089,ENSP00000379601
WBGene00000090,ENSP00000263967
WBGene00000092,ENSP00000385510
WBGene00000095,ENSP00000351407
WBGene00000096,ENSP00000242057
WBGene00000097,ENSP00000289528
WBGene00000099,ENSP00000379245
WBGene00000101,ENSP00000287727
WBGene00000102,ENSP00000385326
WBGene00000105,ENSP00000220592
WBGene00000105,ENSP00000362287
WBGene00000105,ENSP00000362300
WBGene00000105,ENSP00000362306
WBGene00000106,ENSP00000220592
WBGene00000106,ENSP00000362287
WBGene00000106,ENSP00000362300
WBGene00000106,ENSP00000362306
WBGene00000107,ENSP00000249750
WBGene00000107,ENSP00000261733
WBGene00000107,ENSP00000297785
WBGene00000107,ENSP00000366927
WBGene00000108,ENSP00000249750
WBGene00000108,ENSP00000261733
WBGene00000108,ENSP00000366927
WBGene00000109,ENSP00000258494
WBGene00000109,ENSP00000273450
WBGene00000110,ENSP00000345774
WBGene00000112,ENSP00000290597
WBGene00000113,ENSP00000314649
WBGene00000114,ENSP00000342564
WBGene00000115,ENSP00000387123
WBGene00000116,ENSP00000265605
WBGene00000117,ENSP00000346827
WBGene00000123,ENSP00000314949
WBGene00000137,ENSP00000373522
WBGene00000138,ENSP00000340684
WBGene00000142,ENSP00000270225
WBGene00000143,ENSP00000314004
WBGene00000146,ENSP00000375751
WBGene00000147,ENSP00000261879
WBGene00000148,ENSP00000294785
WBGene00000149,ENSP00000221891
WBGene00000155,ENSP00000358694
WBGene00000156,ENSP00000413133
WBGene00000157,ENSP00000263270
WBGene00000158,ENSP00000312442
WBGene00000158,ENSP00000409153
WBGene00000159,ENSP00000414714
WBGene00000160,ENSP00000314414
WBGene00000160,ENSP00000350199
WBGene00000161,ENSP00000327694
WBGene00000161,ENSP00000351926
WBGene00000162,ENSP00000347416
WBGene00000163,ENSP00000261722
WBGene00000164,ENSP00000390561
WBGene00000165,ENSP00000338777
WBGene00000166,ENSP00000245541
WBGene00000170,ENSP00000297991
WBGene00000174,ENSP00000219660
WBGene00000177,ENSP00000318770
WBGene00000177,ENSP00000405899
WBGene00000180,ENSP00000231524
WBGene00000181,ENSP00000168216
WBGene00000182,ENSP00000272102
WBGene00000183,ENSP00000000233
