I-1A01,WBGene00000227
I-1A02,WBGene00001115
I-1A04,WBGene00018579
I-1A05,WBGene00000253
I-1A06,WBGene00018580
I-1A07,WBGene00004225
I-1A08,WBGene00004969
I-1A09,WBGene00018955
I-1A10,WBGene00019706
I-1A11,WBGene00018957
I-1A13,WBGene00018958
I-1A14,WBGene00022139
I-1A15,WBGene00004274
I-1A17,WBGene00000253
I-1A18,WBGene00003750
I-1A19,WBGene00018771
I-1A20,WBGene00001309
I-1A21,WBGene00018772
I-1A22,WBGene00001196
I-1A23,WBGene00003229
I-1A24,WBGene00016907
I-1B02,WBGene00003072
I-1B03,WBGene00021548
I-1B04,WBGene00017908
I-1B05,WBGene00021549
I-1B06,WBGene00000779
I-1B07,WBGene00021549
I-1B08,WBGene00000197
I-1B09,WBGene00021551
I-1B10,WBGene00017909
I-1B12,WBGene00017910
I-1B13,WBGene00021034
I-1B14,WBGene00018868
I-1B15,WBGene00021035
I-1B16,WBGene00006805
I-1B17,WBGene00021036
I-1B18,WBGene00006805
I-1B19,WBGene00021037
I-1B20,WBGene00006805
I-1B21,WBGene00021038
I-1B22,WBGene00006820
I-1B23,WBGene00021039
I-1B24,WBGene00015631
I-1C01,WBGene00004962
I-1C02,WBGene00000020
I-1C03,WBGene00000622
I-1C04,WBGene00017398
I-1C05,WBGene00018773
I-1C05,WBGene00045049
I-1C07,WBGene00018774
I-1C08,WBGene00021005
I-1C09,WBGene00004418
I-1C10,WBGene00001542
I-1C11,WBGene00018775
I-1C12,WBGene00021006
I-1C13,WBGene00002077
I-1C14,WBGene00021007
I-1C15,WBGene00016906
I-1C16,WBGene00021008
I-1C18,WBGene00021009
I-1C19,WBGene00016905
I-1C20,WBGene00017731
I-1C22,WBGene00017732
I-1C23,WBGene00016904
I-1C24,WBGene00017733
I-1D01,WBGene00021036
I-1D02,WBGene00016063
I-1D03,WBGene00021036
I-1D04,WBGene00016064
I-1D05,WBGene00019360
I-1D07,WBGene00019361
I-1D08,WBGene00016066
I-1D09,WBGene00019362
I-1D10,WBGene00006820
I-1D11,WBGene00021036
I-1D13,WBGene00020900
I-1D14,WBGene00019253
I-1D15,WBGene00020901
I-1D16,WBGene00077701
I-1D19,WBGene00020902
I-1D20,WBGene00002696
I-1D21,WBGene00000368
I-1D22,WBGene00002696
I-1D23,WBGene00000627
I-1D24,WBGene00003029
I-1E01,WBGene00016903
I-1E02,WBGene00017734
I-1E04,WBGene00017735
I-1E05,WBGene00002077
I-1E06,WBGene00017736
I-1E07,WBGene00020087
I-1E08,WBGene00017737
I-1E09,WBGene00020088
I-1E10,WBGene00017738
I-1E11,WBGene00020089
I-1E12,WBGene00017739
I-1E13,WBGene00004143
I-1E14,WBGene00002141
I-1E14,WBGene00017740
I-1E15,WBGene00020090
I-1E16,WBGene00002141
I-1E17,WBGene00006385
I-1E19,WBGene00020091
I-1E20,WBGene00006047
I-1E21,WBGene00015570
I-1E23,WBGene00001814
I-1E24,WBGene00016950
I-1F01,WBGene00020903
I-1F02,WBGene00017085
I-1F03,WBGene00000628
I-1F04,WBGene00017084
I-1F04,WBGene00017089
I-1F05,WBGene00017025
I-1F08,WBGene00020031
I-1F09,WBGene00001501
I-1F10,WBGene00004464
I-1F11,WBGene00004272
I-1F12,WBGene00002139
I-1F13,WBGene00017026
I-1F14,WBGene00002138
I-1F15,WBGene00002042
I-1F16,WBGene00020032
I-1F17,WBGene00003418
I-1F18,WBGene00020033
I-1F22,WBGene00002137
I-1F23,WBGene00020466
I-1F24,WBGene00020035
I-1G01,WBGene00021024
I-1G02,WBGene00000006
I-1G03,WBGene00021025
I-1G04,WBGene00004226
I-1G05,WBGene00021026
I-1G06,WBGene00001404
I-1G07,WBGene00021027
I-1G08,WBGene00019461
I-1G11,WBGene00018921
I-1G12,WBGene00021269
I-1G13,WBGene00002040
I-1G14,WBGene00021270
I-1G16,WBGene00021271
I-1G18,WBGene00000832
I-1G19,WBGene00020281
I-1G20,WBGene00000832
I-1G21,WBGene00020282
I-1G22,WBGene00000800
I-1G23,WBGene00020283
I-1G24,WBGene00018230
I-1H01,WBGene00020467
I-1H02,WBGene00020036
I-1H03,WBGene00001601
I-1H04,WBGene00020037
I-1H05,WBGene00003040
I-1H06,WBGene00020038
I-1H07,WBGene00004147
I-1H08,WBGene00020039
I-1H09,WBGene00021175
I-1H10,WBGene00020040
I-1H11,WBGene00002135
I-1H12,WBGene00015970
I-1H13,WBGene00022815
I-1H15,WBGene00002134
I-1H16,WBGene00015972
I-1H17,WBGene00016320
I-1H18,WBGene00015973
I-1H18,WBGene00015974
I-1H19,WBGene00004425
I-1H20,WBGene00015974
I-1H21,WBGene00016321
I-1H22,WBGene00015975
I-1H23,WBGene00016322
I-1H24,WBGene00004093
I-1I01,WBGene00022518
I-1I02,WBGene00018231
I-1I03,WBGene00022517
I-1I04,WBGene00018232
I-1I05,WBGene00022518
I-1I07,WBGene00022518
I-1I08,WBGene00017975
I-1I09,WBGene00022519
I-1I10,WBGene00017976
I-1I11,WBGene00022385
I-1I12,WBGene00017977
I-1I14,WBGene00017977
I-1I14,WBGene00017978
I-1I16,WBGene00017979
I-1I18,WBGene00017980
I-1I19,WBGene00022390
I-1I20,WBGene00000788
I-1I21,WBGene00022389
I-1I22,WBGene00020984
I-1I23,WBGene00022388
I-1I24,WBGene00020985
I-1J01,WBGene00016323
I-1J03,WBGene00016324
I-1J04,WBGene00015976
I-1J05,WBGene00004368
I-1J06,WBGene00016601
I-1J07,WBGene00004217
I-1J08,WBGene00016602
I-1J09,WBGene00016325
I-1J10,WBGene00016603
I-1J11,WBGene00006751
I-1J12,WBGene00007001
I-1J12,WBGene00016608
I-1J13,WBGene00016326
I-1J14,WBGene00016605
I-1J15,WBGene00018763
I-1J16,WBGene00003516
I-1J17,WBGene00018764
I-1J18,WBGene00003584
I-1J20,WBGene00016606
I-1J21,WBGene00006833
I-1J22,WBGene00016607
I-1J23,WBGene00003797
I-1J24,WBGene00000382
I-1K02,WBGene00020986
