A0FLQ6,O75417
A0FLQ8,P17861
A0PD34,Q68DU8
A0PD34,Q6ZWB6
A0PD34,Q96CX2
A0SQM0,Q05BQ5
A0SQM0,Q5VUG0
A0SQM0,Q8NA19
A0SQM0,Q969R5
A0SQM0,Q9UHJ3
A0SQM0,Q9Y468
B2D6M2,Q05BQ5
B2D6M2,Q5VUG0
B2D6M2,Q8NA19
B2D6M2,Q969R5
B2D6M2,Q9UHJ3
B2D6M2,Q9Y468
A3FPK2,O00222
A3FPK2,P41594
A3FPK2,Q14416
A3FPK2,Q14831
A3FPK2,Q14832
Q09630,O00222
Q09630,P41594
Q09630,Q14416
Q09630,Q14831
Q09630,Q14832
A3QM97,Q6P4Q7
A3QM97,Q8NE01
A3QM97,Q9H8M5
A3QM97,Q9NRU3
Q9GYL2,Q6P4Q7
Q9GYL2,Q8NE01
Q9GYL2,Q9H8M5
Q9GYL2,Q9NRU3
A3QMB1,Q5JR12
A3QMB1,Q9ULR3
A3QMB3,Q8N3P4
A3QMC5,P49207
A3QMC6,O75477
A3QMC6,O94905
A3QMC8,Q9Y5P6
A4F324,O96017
Q9U1Y5,O96017
A4LBC2,O96028
A4LBC2,Q96L73
A4LBC2,Q9BYW2
A4LBC2,Q9BZ95
A4UVJ7,A6NKP2
A4UVJ7,Q8WUS8
Q23086,A6NKP2
Q23086,Q8WUS8
Q9XWF0,A6NKP2
Q9XWF0,Q8WUS8
A4UVJ9,Q16222
A4UVJ9,Q3KQV9
Q18493,Q16222
Q18493,Q3KQV9
A4UVL8,Q92561
A4UVL8,Q96FC7
G5ECJ7,Q92561
G5ECJ7,Q96FC7
O17963,Q92561
O17963,Q96FC7
O45775,Q92561
O45775,Q96FC7
Q9BPP2,Q92561
Q9BPP2,Q96FC7
A4UZ34,Q9NYN1
A5HWB2,Q9BUE6
A5JYR4,O75553
A5JYR4,P98082
A5JYT9,Q86YH2
A5JYU5,Q92878
O44199,Q92878
A5JYU6,Q5XG99
A5JYU6,Q7Z3D4
A5JYW9,O75182
A5JYW9,Q96ST3
A5JYX3,P26232
A5JYX3,P35221
A5JYX3,Q9UI47
P90947,P26232
P90947,P35221
P90947,Q9UI47
A5JYX5,Q8N3Y7
Q22392,Q8N3Y7
A5JYX8,Q969V3
O18033,Q969V3
A5JYY7,A6NFU8
A5JYY7,Q9NXJ5
P90931,A6NFU8
P90931,Q9NXJ5
P90933,A6NFU8
P90933,Q9NXJ5
A5PEW5,O00161
A5PEW5,P60880
A5PEX5,O14910
A5PEX5,Q9HAP6
A5PEX5,Q9NUP9
A5PEX8,Q9BSR8
A5PEY3,O00411
A5Z2S4,O75170
A5Z2S4,Q5H9R7
A5Z2S4,Q9UPN7
B2D6K9,O75170
B2D6K9,Q5H9R7
B2D6K9,Q9UPN7
A5Z2T7,Q92542
Q23316,Q92542
A5Z2W8,O14595
A5Z2W8,O15194
A5Z2W8,Q9GZU7
Q8T3G2,O14595
Q8T3G2,O15194
Q8T3G2,Q9GZU7
A6PVA1,Q96RS6
A6ZJ73,Q5U3C3
A7DT41,Q5TA50
Q21333,Q5TA50
A7DTF0,Q15014
A7DTF0,Q9UBU8
A7DTF2,P22059
A7DTF2,Q969R2
A7IQW5,Q9H867
A7LPE6,P21695
A7LPE6,Q8N335
P34517,P21695
P34517,Q8N335
A7LPF8,Q9UIL1
A7LPG5,Q8N5K1
A7LPG5,Q9NZ45
A7WK41,P24666
A7WK43,Q6GMV3
A7WK47,Q14680
A8DYR7,Q8WYA0
A8DYS0,O95319
A8DYS0,Q5SZQ8
A8DYS0,Q8N6W0
A8WFI7,O60502
A8WFJ9,O95238
A8WFK6,P36969
H2KYJ6,P36969
O02621,P36969
O62327,P36969
A8WHR6,O75688
A8WHR6,P35813
Q19775,O75688
Q19775,P35813
A8WHT1,Q32P41
A8WHT8,Q12797
A8XQE0,Q9NPF5
A9CZN9,P48507
A9D0C3,O43818
A9D2X7,Q99447
A9D4E4,Q9C0K0
A9D4E4,Q9H165
A9D4S6,Q9BZJ0
A9D699,O43257
A9UJN4,Q13362
A9UJN4,Q14738
Q9U3Q1,Q13362
Q9U3Q1,Q14738
A9Z1K0,O43572
Q10955,O43572
A9Z1L1,P05154
G5ECY2,P05154
G5EE40,P05154
G5EFH4,P05154
O17365,P05154
A9Z1L1,O75830
A9Z1L1,P01008
A9Z1L1,P29508
A9Z1L1,P35237
A9Z1L1,P50452
A9Z1L1,P50453
A9Z1L1,Q96P15
A9Z1L1,Q99574
G5ECY2,O75830
G5ECY2,P01008
G5ECY2,P29508
G5ECY2,P35237
G5ECY2,P50452
G5ECY2,P50453
G5ECY2,Q96P15
G5ECY2,Q99574
G5EE40,O75830
G5EE40,P01008
G5EE40,P29508
G5EE40,P35237
G5EE40,P50452
G5EE40,P50453
G5EE40,Q96P15
G5EE40,Q99574
G5EFH4,O75830
G5EFH4,P01008
G5EFH4,P29508
G5EFH4,P35237
G5EFH4,P50452
G5EFH4,P50453
G5EFH4,Q96P15
G5EFH4,Q99574
O17365,O75830
O17365,P01008
O17365,P29508
O17365,P35237
O17365,P50452
O17365,P50453
O17365,Q96P15
O17365,Q99574
A9Z1L6,Q8N9N2
B0M0M9,O15525
B0M0M9,O60675
B0M0M9,O75444
B0M0M9,P54845
B0M0M9,Q8NHW3
B0M0M9,Q9ULX9
B0M0M9,Q9Y5Q3
B1GRK5,Q9NYQ3
B1GRK5,Q9UJM8
B1GRL5,Q9Y5R8
B1Q236,Q6UWL6
B1Q236,Q8IZU9
B1Q236,Q96J84
B1Q240,O14640
B1Q240,O14641
B1Q240,Q92997
Q18239,O14640
Q18239,O14641
Q18239,Q92997
B1Q249,Q6ZMZ0
B1Q249,Q9NV58
B1Q254,Q6P996
B1V898,P27169
B1V898,Q15165
B1V898,Q15166
Q2V071,P27169
Q2V071,Q15165
Q2V071,Q15166
Q966L1,P27169
Q966L1,Q15165
Q966L1,Q15166
B1V899,P48553
B1V8A0,Q99961
B1V8A0,Q99962
B1V8A0,Q99963
B2D6N9,O75923
B2D6N9,Q2WGJ9
B2D6N9,Q9HC10
B2D6N9,Q9NZM1
O01596,O75923
O01596,Q2WGJ9
O01596,Q9HC10
O01596,Q9NZM1
Q17388,O75923
Q17388,Q2WGJ9
Q17388,Q9HC10
Q17388,Q9NZM1
B2FDA8,Q9UQE7
B2MZB4,P10826
B2MZB4,P22736
B2MZB4,P43354
B2MZB4,Q92570
P41829,P10826
P41829,P22736
P41829,P43354
P41829,Q92570
B3CJ34,Q92616
B3CJ53,O15056
B3CJ53,O43426
G5ECL2,O15056
G5ECL2,O43426
B3GWA1,P23246
B3GWA1,Q15233
B3GWA1,Q8WXF1
B3GWC0,Q86X67
B3GWC0,Q9BQG2
Q19427,Q86X67
Q19427,Q9BQG2
B3GWC3,Q96LI5
B3GWC3,Q9ULM6
B3KLZ9,Q8WYN3
B3KLZ9,Q96S65
B3KLZ9,Q9H175
B3KYC0,Q96GW9
B3WFV9,Q2Y0W8
B3WFV9,Q6U841
B3WFV9,Q9Y6M7
B3WFV9,Q9Y6R1
B3WFW5,Q92544
B3WFX4,O96018
B3WFX4,Q02410
B3WFX4,Q99767
O17583,O96018
O17583,Q02410
O17583,Q99767
B3WFY8,P20794
B3WFY8,Q9UPZ9
B3WFZ3,P49753
B3WFZ3,Q14032
B3WFZ3,Q86TX2
B3WFZ3,Q8N9L9
O01862,P49753
O01862,Q14032
O01862,Q86TX2
O01862,Q8N9L9
O45003,P49753
O45003,Q14032
O45003,Q86TX2
O45003,Q8N9L9
Q9GYN3,P49753
Q9GYN3,Q14032
Q9GYN3,Q86TX2
Q9GYN3,Q8N9L9
B4E3X6,P19623
B5BM26,Q70Z53
B5BM27,P00533
B5BM27,P04626
B5BM27,P21860
B5BM27,Q15303
P24348,P00533
P24348,P04626
P24348,P21860
P24348,Q15303
B5BM32,Q9GZY0
B5BM32,Q9H1B4
B5BM32,Q9H4D5
B5BM32,Q9UBU9
Q9XVS7,Q9GZY0
Q9XVS7,Q9H1B4
Q9XVS7,Q9H4D5
Q9XVS7,Q9UBU9
Q9XVS8,Q9GZY0
Q9XVS8,Q9H1B4
Q9XVS8,Q9H4D5
Q9XVS8,Q9UBU9
B5BM35,P54750
B5BM35,Q01064
B5BM35,Q14123
O18696,P54750
O18696,Q01064
O18696,Q14123
B5BM46,P49757
B5BM46,Q9Y6R0
Q9XTY6,P49757
Q9XTY6,Q9Y6R0
B5BM47,B5MD39
B5BM47,P19440
B5BM47,P36268
B5BM47,Q14390
B5BM47,Q9BX51
H2L0B7,B5MD39
H2L0B7,P19440
H2L0B7,P36268
H2L0B7,Q14390
H2L0B7,Q9BX51
Q9N5V4,B5MD39
Q9N5V4,P19440
Q9N5V4,P36268
Q9N5V4,Q14390
Q9N5V4,Q9BX51
B5U8M3,P15822
B5U8M3,P31629
B5U8M3,Q5T1R4
B5WWL2,Q96S44
B6VQ32,Q96D31
B6VQ32,Q96SN7
B6VQ32,Q9BRQ5
Q09232,Q96D31
Q09232,Q96SN7
Q09232,Q9BRQ5
B6VQ59,A3KMH1
B6VQ90,O94925
B6VQ90,Q9UI32
H2L2H3,O94925
H2L2H3,Q9UI32
Q19013,O94925
Q19013,Q9UI32
Q93650,O94925
Q93650,Q9UI32
B6VQ94,Q4L235
B7FAS6,Q9BWW4
B7FAS8,Q86YB8
B7FAS8,Q96HE7
Q7YTU4,Q86YB8
Q7YTU4,Q96HE7
B7WN63,Q5JSJ4
B7WN63,Q9UL03
B7WN72,Q9UPX8
B7WN72,Q9Y566
Q09493,Q9UPX8
Q09493,Q9Y566
B7WN80,Q9NUU7
B7WN80,Q9UHL0
B7WN80,Q9UMR2
Q22308,Q9NUU7
Q22308,Q9UHL0
Q22308,Q9UMR2
B7WNA0,P14618
B7WNA0,P30613
Q23539,P14618
Q23539,P30613
B7WNB1,P53609
B7WNB4,Q8N5C7
B9WRT3,Q92508
B9WRT3,Q9H5I5
B9WRU1,Q00839
B9WRU1,Q9BUJ2
C0P271,O60271
C0P271,Q9UPT6
P34609,O60271
P34609,Q9UPT6
C0P277,Q9BTM9
C0P278,A6ND91
C0P280,P22670
C0P280,P48378
C0P280,P48380
C0P280,Q33E94
C0P280,Q8HWS3
Q09555,P22670
Q09555,P48378
Q09555,P48380
Q09555,Q33E94
Q09555,Q8HWS3
C0P287,Q9H6E4
C0P289,Q9NTI2
C0P289,Q9Y2Q0
C0VXV5,Q9Y2S2
C0Z1Y1,H3BPM6
C0Z1Y9,O75832
C1P622,P37058
C1P622,Q3SXM5
C1P622,Q53GQ0
O16925,P37058
O16925,Q3SXM5
O16925,Q53GQ0
O17795,P37058
O17795,Q3SXM5
O17795,Q53GQ0
Q09517,P37058
Q09517,Q3SXM5
Q09517,Q53GQ0
Q17703,P37058
Q17703,Q3SXM5
Q17703,Q53GQ0
Q17704,P37058
Q17704,Q3SXM5
Q17704,Q53GQ0
C1P629,Q8N684
C1P633,Q5TCQ9
C1P633,Q86UL8
C1P633,Q96QZ7
C2BR94,Q13769
C2BR97,Q9HAU5
C4ALD5,O60229
C4ALD5,O75962
O61528,O60229
O61528,O75962
C4ALD8,O00423
C4ALD8,O95834
C4ALD8,Q05BV3
C4ALD8,Q32P44
C4ALD8,Q6ZMW3
C4ALD8,Q9HC35
O45487,O00423
