Ensembl Gene ID	UniProt/TrEMBL Accession
ENSG00000205246	A6NE09
ENSG00000248167	A6ZJ12
ENSG00000219492	D6REW3
ENSG00000255168	E9PLD5
ENSG00000062370	F5GWS7
ENSG00000198580	H0YG68
ENSG00000263563	J3QRK5
ENSG00000268412	M0R242
ENSG00000269383	M0R312
ENSG00000226976	Q5T8I0
ENSG00000180909	Q8NGM6
ENSG00000180913	Q8NH77
ENSG00000255622	Q96T98
ENSG00000273039	Q96T98
