CE_WB_CURRENT,HS_ENSG,CE_WB_OLD,CE_WB_COMMENT
WBGene00000001,ENSG00000105647,WBGene00000001,
WBGene00000001,ENSG00000117461,WBGene00000001,
WBGene00000001,ENSG00000145675,WBGene00000001,
WBGene00000001,ENSG00000268173,WBGene00000001,
WBGene00000001,ENSG00000278139,WBGene00000001,
WBGene00000002,ENSG00000092068,WBGene00000002,
WBGene00000002,ENSG00000103064,WBGene00000002,
WBGene00000002,ENSG00000103257,WBGene00000002,
WBGene00000002,ENSG00000130876,WBGene00000002,
WBGene00000002,ENSG00000155465,WBGene00000002,
WBGene00000003,ENSG00000092068,WBGene00000003,
WBGene00000003,ENSG00000103064,WBGene00000003,
WBGene00000003,ENSG00000103257,WBGene00000003,
WBGene00000003,ENSG00000130876,WBGene00000003,
WBGene00000003,ENSG00000155465,WBGene00000003,
WBGene00000004,ENSG00000092068,WBGene00000004,
WBGene00000004,ENSG00000103064,WBGene00000004,
WBGene00000004,ENSG00000103257,WBGene00000004,
WBGene00000004,ENSG00000130876,WBGene00000004,
WBGene00000004,ENSG00000155465,WBGene00000004,
WBGene00000018,ENSG00000097007,WBGene00000018,
WBGene00000018,ENSG00000143322,WBGene00000018,
WBGene00000020,ENSG00000064687,WBGene00000020,
WBGene00000020,ENSG00000107331,WBGene00000020,
WBGene00000020,ENSG00000141338,WBGene00000020,
WBGene00000020,ENSG00000144452,WBGene00000020,
WBGene00000020,ENSG00000154258,WBGene00000020,
WBGene00000020,ENSG00000154262,WBGene00000020,
WBGene00000020,ENSG00000154263,WBGene00000020,
WBGene00000020,ENSG00000154265,WBGene00000020,
WBGene00000020,ENSG00000165029,WBGene00000020,
WBGene00000020,ENSG00000179869,WBGene00000020,
WBGene00000020,ENSG00000198691,WBGene00000020,
WBGene00000022,ENSG00000141338,WBGene00000022,
WBGene00000022,ENSG00000154258,WBGene00000022,
WBGene00000022,ENSG00000154262,WBGene00000022,
WBGene00000022,ENSG00000154263,WBGene00000022,
WBGene00000022,ENSG00000154265,WBGene00000022,
WBGene00000022,ENSG00000167972,WBGene00000022,
WBGene00000023,ENSG00000141338,WBGene00000023,
WBGene00000023,ENSG00000154258,WBGene00000023,
WBGene00000023,ENSG00000154262,WBGene00000023,
WBGene00000023,ENSG00000154263,WBGene00000023,
WBGene00000023,ENSG00000154265,WBGene00000023,
WBGene00000035,ENSG00000087085,WBGene00000035,
WBGene00000035,ENSG00000114200,WBGene00000035,
WBGene00000036,ENSG00000087085,WBGene00000036,
WBGene00000036,ENSG00000114200,WBGene00000036,
WBGene00000037,ENSG00000087085,WBGene00000037,
WBGene00000037,ENSG00000114200,WBGene00000037,
WBGene00000038,ENSG00000087085,WBGene00000038,
WBGene00000038,ENSG00000114200,WBGene00000038,
WBGene00000039,ENSG00000130234,WBGene00000039,
WBGene00000039,ENSG00000147003,WBGene00000039,
WBGene00000039,ENSG00000159640,WBGene00000039,
WBGene00000039,ENSG00000264813,WBGene00000039,
WBGene00000040,ENSG00000122729,WBGene00000040,
WBGene00000040,ENSG00000136381,WBGene00000040,
WBGene00000041,ENSG00000100412,WBGene00000041,
WBGene00000042,ENSG00000080644,WBGene00000042,
WBGene00000042,ENSG00000101204,WBGene00000042,
WBGene00000042,ENSG00000108556,WBGene00000042,
WBGene00000042,ENSG00000117971,WBGene00000042,
WBGene00000042,ENSG00000120903,WBGene00000042,
WBGene00000042,ENSG00000135902,WBGene00000042,
WBGene00000042,ENSG00000138435,WBGene00000042,
WBGene00000042,ENSG00000147432,WBGene00000042,
WBGene00000042,ENSG00000147434,WBGene00000042,
WBGene00000042,ENSG00000160716,WBGene00000042,
WBGene00000042,ENSG00000169684,WBGene00000042,
WBGene00000042,ENSG00000170175,WBGene00000042,
WBGene00000042,ENSG00000196811,WBGene00000042,
WBGene00000043,ENSG00000080644,WBGene00000043,
WBGene00000043,ENSG00000101204,WBGene00000043,
WBGene00000043,ENSG00000108556,WBGene00000043,
WBGene00000043,ENSG00000117971,WBGene00000043,
WBGene00000043,ENSG00000120903,WBGene00000043,
WBGene00000043,ENSG00000135902,WBGene00000043,
WBGene00000043,ENSG00000138435,WBGene00000043,
WBGene00000043,ENSG00000147432,WBGene00000043,
WBGene00000043,ENSG00000147434,WBGene00000043,
WBGene00000043,ENSG00000160716,WBGene00000043,
WBGene00000043,ENSG00000169684,WBGene00000043,
WBGene00000043,ENSG00000170175,WBGene00000043,
WBGene00000043,ENSG00000196811,WBGene00000043,
WBGene00000044,ENSG00000149305,WBGene00000044,
WBGene00000044,ENSG00000166736,WBGene00000044,
WBGene00000044,ENSG00000178084,WBGene00000044,
WBGene00000044,ENSG00000186038,WBGene00000044,
WBGene00000044,ENSG00000186090,WBGene00000044,
WBGene00000044,ENSG00000186919,WBGene00000044,
WBGene00000045,ENSG00000080644,WBGene00000045,
WBGene00000045,ENSG00000101204,WBGene00000045,
WBGene00000045,ENSG00000108556,WBGene00000045,
WBGene00000045,ENSG00000117971,WBGene00000045,
WBGene00000045,ENSG00000120903,WBGene00000045,
WBGene00000045,ENSG00000135902,WBGene00000045,
WBGene00000045,ENSG00000138435,WBGene00000045,
WBGene00000045,ENSG00000147432,WBGene00000045,
WBGene00000045,ENSG00000147434,WBGene00000045,
WBGene00000045,ENSG00000160716,WBGene00000045,
WBGene00000045,ENSG00000169684,WBGene00000045,
WBGene00000045,ENSG00000170175,WBGene00000045,
WBGene00000045,ENSG00000196811,WBGene00000045,
WBGene00000046,ENSG00000166664,WBGene00000046,
WBGene00000046,ENSG00000175344,WBGene00000046,
WBGene00000047,ENSG00000080644,WBGene00000047,
WBGene00000047,ENSG00000101204,WBGene00000047,
WBGene00000047,ENSG00000108556,WBGene00000047,
WBGene00000047,ENSG00000117971,WBGene00000047,
WBGene00000047,ENSG00000120903,WBGene00000047,
WBGene00000047,ENSG00000135902,WBGene00000047,
WBGene00000047,ENSG00000138435,WBGene00000047,
WBGene00000047,ENSG00000147432,WBGene00000047,
WBGene00000047,ENSG00000147434,WBGene00000047,
WBGene00000047,ENSG00000160716,WBGene00000047,
WBGene00000047,ENSG00000169684,WBGene00000047,
WBGene00000047,ENSG00000170175,WBGene00000047,
WBGene00000047,ENSG00000196811,WBGene00000047,
WBGene00000048,ENSG00000166664,WBGene00000048,
WBGene00000048,ENSG00000175344,WBGene00000048,
WBGene00000049,ENSG00000166664,WBGene00000049,
WBGene00000049,ENSG00000175344,WBGene00000049,
WBGene00000050,ENSG00000166664,WBGene00000050,
WBGene00000050,ENSG00000175344,WBGene00000050,
WBGene00000051,ENSG00000080644,WBGene00000051,
WBGene00000051,ENSG00000101204,WBGene00000051,
WBGene00000051,ENSG00000108556,WBGene00000051,
WBGene00000051,ENSG00000117971,WBGene00000051,
WBGene00000051,ENSG00000120903,WBGene00000051,
WBGene00000051,ENSG00000135902,WBGene00000051,
WBGene00000051,ENSG00000138435,WBGene00000051,
